"gene","logP"
"2300009A05Rik",0
"2310001H17Rik",0.3
"2310002F09Rik",0.3
"2310005A03Rik",0.4
"2310009A05Rik",0.9
"2310009B15Rik",0.4
"2310010G23Rik",0
"2310010J17Rik",0.4
"2310011J03Rik",0.9
"2310015A10Rik",-0.3
"2310015D24Rik",0
"2310015K22Rik",NA
"2310016G11Rik",0
"2310022A10Rik",0.2
"2310022B05Rik",-0.8
"2310026I22Rik",-0.2
"2310026L22Rik",0.4
"2310030G06Rik",0.1
"2310031A07Rik",0.1
"2310033P09Rik",0
"2310034G01Rik",0
"2310034O05Rik",NA
"2310035C23Rik",-0.1
"2310036O22Rik",0.1
"2310039H08Rik",0.9
"2310040G07Rik",NA
"2310040G24Rik",0.1
"2310043L19Rik",0
"2310043M15Rik",0.3
"2310044K18Rik",0.6
"2310045N01Rik",0.3
"2310047D07Rik",0
"2310047M10Rik",-0.1
"2310057M21Rik",0.1
"2310058D17Rik",0.2
"2310061I04Rik",0.4
"2310067B10Rik",0.1
"2310068J16Rik",-0.1
"2310069G16Rik",0.2
"2410002F23Rik",-0.1
"2410004B18Rik",0.6
"2410004I01Rik",0.3
"2410004P03Rik",-0.2
"2410006H16Rik",0.2
"2410012E07Rik",0
"2410015M20Rik",0.4
"2410016O06Rik",-0.4
"2410018L13Rik",-0.3
"2410021H03Rik",NA
"2410022M11Rik",0.3
"2410024N13Rik",NA
"2410080I02Rik",-0.1
"2410089E03Rik",-0.6
"2410127L17Rik",0.1
"2410131K14Rik",-0.6
"2410141K09Rik",-0.5
"2410152P15Rik",-0.2
"2500002B13Rik",-0.8
"2500004C02Rik",0.3
"2510002D24Rik",-0.2
"2510009E07Rik",0
"2510039O18Rik",0.1
"2510046G10Rik",0
"2600006K01Rik",-0.3
"2600014E21Rik",0.2
"2610001J05Rik",1.4
"2610002M06Rik",0.2
"2610005L07Rik",0.2
"2610008E11Rik",-0.1
"2610012C04Rik",-0.5
"2610015P09Rik",0.4
"2610020C07Rik",-0.4
"2610020H08Rik",0.2
"2610021A01Rik",0.3
"2610028E06Rik",NA
"2610035D17Rik",0.1
"2610035F20Rik",-0.2
"2610037D02Rik",0
"2610044O15Rik8",-0.5
"2610203C20Rik",-0.4
"2610203C22Rik",NA
"2610206C17Rik",-0.2
"2610301B20Rik",1.9
"2610305D13Rik",0
"2610306M01Rik",-0.4
"2610307P16Rik",0.1
"2610316D01Rik",0.1
"2610318N02Rik",-0.4
"2610507B11Rik",-1.1
"2610507I01Rik",-0.2
"2610524H06Rik",0.4
"2610528A11Rik",0.3
"2700029M09Rik",-0.6
"2700033N17Rik",0
"2700038G22Rik",-0.4
"2700046G09Rik",0
"2700049A03Rik",-1.6
"2700060E02Rik",1.1
"2700062C07Rik",-0.3
"2700068H02Rik",-0.3
"2700069I18Rik",0
"2700078F05Rik",0
"2700081O15Rik",0.3
"2700089I24Rik",0.4
"2700094K13Rik",0.8
"2700097O09Rik",-0.6
"2700099C18Rik",-0.2
"2810001G20Rik",0.2
"2810002D19Rik",0.9
"2810004N23Rik",-0.6
"2810006K23Rik",0.3
"2810013P06Rik",0.2
"2810021J22Rik",-1
"2810025M15Rik",1
"2810029C07Rik",0.2
