"4930451G09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930452B06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930453N24Rik"	"GO:0003674;GO:0005575;GO:0006915;GO:0008150"
"4930467E23Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930474N05Rik"	"GO:0002244;GO:0003674;GO:0005575"
"4930502E18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930503L19Rik"	"GO:0005576;GO:0008285"
"4930505A04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930512M02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930518I15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930522L14Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930523C07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930524B15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930524J08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930539E08Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930544D05Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930558K02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930562C15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930563I02Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930563M21Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930578C19Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0009966"
"4930578G10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930578I06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4930579G24Rik"	"GO:0003674;GO:0005575;GO:0005737;GO:0008150"
"4930590J08Rik"	"GO:0003674;GO:0005737;GO:0008150;GO:0016020;GO:0016021"
"4931406B18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931406C07Rik"	"GO:0005634;GO:0008270;GO:0016787;GO:0016788;GO:0046872;GO:0070062"
"4931406P16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931414P19Rik"	"GO:0005575;GO:0005576;GO:0008150;GO:0044822"
"4931422A03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931428F04Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931428L18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931429L15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"4931440F15Rik"	"GO:0003674;GO:0005575;GO:0005737;GO:0008150"
"4932411N23Rik"	"GO:0000981;GO:0001135;GO:0005634;GO:0006357;GO:0030154;GO:0043565;GO:0044212"
