"rowname","PC1","Naf1","Ptgs2","Rgs2","Hist1h1d","Col10a1","Arc","Hspb3","Npas4","Fzd5","Acan","Areg","Hist1h3i","Armcx5","Atf3","Syt4","Nexn","Hoxc4","Abra","Fosl2","Ubc"
"Acan",0.784205534794125,0.806748882354711,0.871606739657787,0.828620111864645,0.744796271105901,0.812072779575659,0.871398443078754,0.710475630015877,0.859978976100439,0.905445155250686,1,0.680139181840815,0.513610657553329,0.788082418628638,0.848873515060507,0.823281084345294,0.761334988359939,0.697077498687456,0.71940518511007,0.884047129307831,0.834426195476113
"Areg",0.784205510826605,0.584413630357048,0.648379171629741,0.531741275591958,0.619715046265564,0.509401008337547,0.664667063200916,0.739534189355655,0.678595334404308,0.70621907912501,0.680139181840815,1,0.719753683492047,0.503143195717145,0.59310252693476,0.484726565733982,0.469027865995392,0.385088623937519,0.459425523584968,0.562174389988307,0.457249080282766
"Hist1h3i",0.779006216500503,0.617801076486482,0.622406055271139,0.578751617707843,0.477319767088438,0.459277307038248,0.537830320339928,0.73028225035967,0.587246294166098,0.623661334657463,0.513610657553329,0.719753683492047,1,0.526630124455409,0.436252680925339,0.420688780994,0.589943135661681,0.520602548788027,0.553285464148119,0.530151074492947,0.442282087907721
"Armcx5",0.775536488340024,0.70290548834391,0.732794780335329,0.83296753442336,0.635545286691677,0.800312430552947,0.738534311738922,0.700023789575811,0.674063419171989,0.718331140344617,0.788082418628638,0.503143195717145,0.526630124455409,1,0.665476416415246,0.774164571936326,0.738660823263615,0.655356238862948,0.734389891792409,0.792221819248953,0.786702350897596
"Atf3",0.774299679458332,0.732662290245803,0.879030730136778,0.854275776400125,0.629609291928085,0.794112642292095,0.963703161321233,0.59254219746974,0.842902319737626,0.782778094125452,0.848873515060507,0.59310252693476,0.436252680925339,0.665476416415246,1,0.84029046612953,0.538641094761353,0.574976716933431,0.762065177118556,0.836550045625977,0.900746319163143
"Syt4",0.77426591864414,0.820325429650789,0.88376183685208,0.848425235592228,0.719632174810618,0.831174633470588,0.880583183786442,0.538325266682899,0.817551584353049,0.750271708872537,0.823281084345294,0.484726565733982,0.420688780994,0.774164571936326,0.84029046612953,1,0.668122929316843,0.79692774891121,0.821298694887137,0.847183879090115,0.839795515847274
"Nexn",0.771602821845151,0.774885785279514,0.74337670601254,0.782269769468109,0.746407929726353,0.799600493996323,0.589692993152569,0.732297911023542,0.724191440266496,0.780523976770765,0.761334988359939,0.469027865995392,0.589943135661681,0.738660823263615,0.538641094761353,0.668122929316843,1,0.849573456883913,0.734313538902489,0.70827265912115,0.650459537409629
"Hoxc4",0.765294784501068,0.884765466476254,0.748623403284211,0.769571396016212,0.81615147546547,0.798270387507628,0.601560426937801,0.508570705459146,0.670742423554959,0.735384549345715,0.697077498687456,0.385088623937519,0.520602548788027,0.655356238862948,0.574976716933431,0.79692774891121,0.849573456883913,1,0.798651314548856,0.753632042206361,0.702854342023592
"Abra",0.76443293381299,0.741152789849351,0.844198838995562,0.900119365532852,0.623477681418848,0.844813946242211,0.810139256375407,0.48027275147435,0.767242246756332,0.805505124141128,0.71940518511007,0.459425523584968,0.553285464148119,0.734389891792409,0.762065177118556,0.821298694887137,0.734313538902489,0.798651314548856,1,0.830302017195598,0.867753713016135
"Fosl2",0.762014114515966,0.802732755454707,0.920882278377137,0.942090572600031,0.717900578351989,0.881100273582289,0.88590570225982,0.60445018977917,0.865241716862919,0.907860783049671,0.884047129307831,0.562174389988307,0.530151074492947,0.792221819248953,0.836550045625977,0.847183879090115,0.70827265912115,0.753632042206361,0.830302017195598,1,0.888569150026491
"Ubc",0.753431907176377,0.796188097405406,0.873971504739377,0.93097585425247,0.595380866278419,0.906915424416674,0.911215794968932,0.57707422430041,0.816451163900516,0.857066450799518,0.834426195476113,0.457249080282766,0.442282087907721,0.786702350897596,0.900746319163143,0.839795515847274,0.650459537409629,0.702854342023592,0.867753713016135,0.888569150026491,1
