"","row","column","cor","p","padj"
"114","CFL1","TNR",-0.524128631649945,0.037156177954234,0.191319607154971
"115","ROCK2","LAMB1",0.524018097154393,0.037203387359023,0.191319607154971
"116","LIMK1","AQP4",-0.523793891759673,0.0372992847562632,0.191319607154971
"117","IGF2BP2","TNC",-0.522581734836368,0.0378209840607062,0.192337483043762
"118","GRIA2","TNXB",0.51713181533918,0.0402348334420246,0.202879033033938
"119","PNN","FGFR3",0.515144643641481,0.0411431861131886,0.205715930565943
"120","NSF","GABRA1",-0.513324148359607,0.0419887894244959,0.207705451563536
"121","IGF2BP2","AQP4",-0.511962830116286,0.0426295806685011,0.207705451563536
"122","EGFR","AQP4",0.511542903726731,0.0428287175455897,0.207705451563536
"123","PTPRS","SLC1A2",0.511314276617166,0.0429374294828822,0.207705451563536
"124","LAMB1","GJB6",0.509932215763199,0.0435990073315526,0.207720927774588
"125","LAMB1","PTPRS",0.509849485021315,0.0436388503728127,0.207720927774588
"126","CAMK2A","FGFR3",0.509044316963493,0.0440280438669545,0.207910207149507
"127","IGF2","CAMK2A",0.507338898828339,0.0448609634939072,0.209243190380423
"128","LAMA1","AQP4",0.507028821575874,0.0450136611238556,0.209243190380423
"129","PRKCZ","ALDH1L1",0.503494289392915,0.0467818226457903,0.215115016536506
"130","NSF","GFAP",-0.503065262899858,0.0469999195794046,0.215115016536506
"131","CFL1","GFAP",-0.501661547247331,0.0477188050642505,0.216150027012293
"132","PRKCB","AQP4",0.501208409678766,0.04795261103466,0.216150027012293
"133","LAMB1","ALDH1A1",0.498894277333475,0.0491599698770537,0.219926181028925
"134","PRKCZ","PICK1",0.497481389539949,0.049908155039172,0.220144821386759
"135","TNC","GJB6",0.496903332978204,0.050216688839575,0.220144821386759
"136","CFL1","AQP4",-0.496712572632043,0.0503188163169734,0.220144821386759
"137","ROCK2","LAMC1",-0.489594175949065,0.0542412500925793,0.234831771111291
"138","PRKCB","EGFR",0.4891725612561,0.0544804604382687,0.234831771111291
"139","IGF2BP2","SLC1A2",-0.488443853129637,0.0548957443181384,0.234831771111291
"140","LAMB1","GFAP",0.487817551066752,0.0552545343791273,0.234831771111291
"141","IGF2BP2","ALDH1A1",-0.485403625101924,0.0566536305981646,0.237621988866171
"142","EGFR","ALDH1L2",0.48463213251644,0.0571062472082882,0.237621988866171
"143","TNC","PNN",0.484119637754819,0.0574083867902822,0.237621988866171
