"","143A-CA3-1","143A-DG-1","143B-CA1-1","143B-DG-1","143C-CA1-1","143D-CA1-3","143D-DG-3","144A-CA1-2","144A-CA3-2","144A-DG-2","144B-CA1-1","144B-CA3-1","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","145A-CA1-2","145A-CA3-2","145A-DG-2","145B-CA1-1","145B-DG-1","146A-CA1-2","146A-CA3-2","146A-DG-2","146B-CA1-2","146B-CA3-2","146B-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1","148A-CA1-3","148A-CA3-3","148A-DG-3","148B-CA1-4","148B-CA3-4","148B-DG-4"
"1700037H04Rik",-0.317081085536449,-0.291597475245367,0.283943258967491,-0.244990869281362,0.0890854495820874,0.362816327100469,-0.570326355607704,0.377483175188495,0.354233224240703,-0.430225352415102,0.536120364649329,-0.0279764269858154,0.267925074593175,0.0212948761168597,-0.186477576751669,0.237827236707805,-0.373214708038291,0.472165705242398,0.487047381488446,-0.370692973402137,-0.368961705827465,-0.379238602578479,0.561667126795091,0.218953285548231,-0.147978059370903,-0.0540251687271365,-0.0643102633261332,-0.204339377043975,0.319028118573154,-0.0282348591817909,0.136954996298466,0.14147950213545,-0.169704764938837,0.209950082775805,0.421875618753122,-0.58738921135958,0.342366085623211,-0.439991855634859,0.314223583973792,-0.174349965911413,-0.329297193210282,-0.431351371616367,-0.196176477321369,0.231491224958912
"1700066M21Rik",0.0268777267992162,-0.0824892272115347,0.338284066467532,-0.347251400334572,0.187737500274189,-0.00432246376528767,-0.251189789216308,-0.447691897687947,0.0471476693099406,0.0504099073329902,0.0808495666573332,-0.0516335788958084,0.476887492065771,0.312193410505465,-0.364156246555779,0.150634486740363,-0.250711096676366,-0.442498868318252,0.164304413617175,0.162878857479868,0.434315291298144,0.249918612003099,0.414927256842519,1.04527548581635,-0.816020179874857,0.345459800134593,0.411134765266425,-0.440322450835062,0.543733648934655,-1.30294467592598,0.906465025406741,-0.21177029420792,-0.785614469787376,0.0854983831063194,0.0776629098681507,-0.429630672701144,0.147374895110627,-0.669010864100862,0.342154877252982,0.561788755349067,-0.728157777072409,0.699313968306536,-0.265102324273344,-0.372710494505236
"1700128F08Rik",-0.209945715403237,0.0137458356637161,-0.543596411119887,0.398509613246182,-0.460996326528472,0.885326586181229,0.762626661006604,-0.236133991716538,-0.45084670566103,0.262837939530035,-0.00922796851756669,-0.269596008333424,0.258109422276659,-1.19153691611267,0.356765657081006,0.0904319328881051,0.320504784862718,-0.567236887923646,-0.590166115975111,0.0874420314559501,-0.433407891667314,1.14117528670292,-0.147037016237601,-0.299989467554441,0.709778327574874,0.250341200355304,-0.395261384624787,-0.0372966177998553,0.039386560002443,0.201969245445219,0.0178907228771532,-0.980308875223418,-0.463531970633867,-0.262978588920458,-0.893347604566332,0.948033282649099,-0.0839759627223406,0.148393176622443,0.0803041273045739,-0.742891928255297,0.181941436266244,1.33933000606748,0.150031463007679,0.624435056429648
"1810010H24Rik",-0.376502219383572,0.800808566170104,0.0645636097313715,0.744922831340038,0.121944141157759,-0.460500178684821,0.870412212787926,0.184171930499839,-0.290203317156677,-0.180006157525617,-0.57535444800126,-0.00381592899330707,0.0733658547393297,0.247483867420998,0.760508881378332,-0.0364043175046029,0.236649411603695,-0.127098925023043,-0.253379039939747,-0.146209074830031,-0.540262543915138,0.324686313203843,0.0618973745811775,-0.566907132668334,0.854930419339055,-0.0211067464754966,-0.255131279866715,-0.0188634240150167,-0.10133993913836,1.11281671781826,-0.283787171060975,-0.587109815816146,0.0112618139297731,-0.266340293048901,-0.474286634703775,0.40372849374316,-0.441588956657061,0.640210845138042,-0.417370072216994,-0.101935496656944,0.257470181732188,-0.231316847069789,-0.600718147455157,-0.414295358507404
"1810026J23Rik",-0.104707231651157,0.497907812259258,-0.439216511423751,0.567206016133144,0.0503029275856575,-0.503357467837977,0.2897783182075,-0.0588169082572998,0.119553773236748,-0.0616658428985408,-0.361767441743034,0.430438444532897,-0.300012527058771,0.0897177133160687,0.353949589056222,-0.0759500109741502,0.324932615646301,-0.307291553039452,0.63554636295193,0.650163083611796,-0.512769376825821,0.45026833939969,-0.278673120719988,-0.0739471103791258,0.125465682180781,-0.370136067285726,-0.115822964349613,-0.802927802549938,-0.288699173655802,0.363416851005685,0.424428199416155,-0.0892767338846259,-0.261779454216082,-0.394775712098883,-0.676590305936772,0.255486415566672,-0.192875020645128,0.164611639234412,-0.279045601968985,0.0142517608119723,0.260664184448118,0.365143421693894,0.000314671954352974,0.116556117151364
"1810041L15Rik",-0.0515689770113976,1.23013363910048,-1.68713709469847,0.770730792101787,-0.9937790116806,-1.35913946618525,0.917840288357095,-1.1115138774418,0.0465051692593805,1.42243771932232,-1.10798102407066,-0.324684663167313,-0.630215639943106,0.562014987107231,1.2556832971481,-0.0194658334122515,1.26795860486148,-1.16941517948095,0.57317683622406,0.950052239120726,-1.11695783560885,1.42745404568142,-1.52639867502204,-0.578811005495315,1.29459430459811,-0.981663525555224,0.147617625821646,-0.577816913107995,-0.897585610775964,1.18254164701375,0.0816886195545736,0.435337577375477,0.365526419211368,-1.2076426487135,0.215646656283998,1.22729316450205,0.389479470617976,1.19845055270923,-0.918617129162662,-0.439040534003083,0.845138724644989,-1.01116929517066,-0.247564923541515,0.150866482631388
"2010111I01Rik",0.300803939780852,-0.371505527010346,-0.568529833211482,-0.229561181822448,-0.0986323782941518,-0.437940075985962,0.0470320850051555,-0.173929530215138,1.01184688882463,0.694894439004917,0.0189884278900463,0.199720710423286,-0.243471659485627,0.131826808374638,0.365438180447926,0.0265467540582636,-0.901423210919159,-0.000177996855875051,-0.1231833215941,-0.38113257270517,-0.412450778282637,-0.47186016950968,0.0532294296009308,0.123639906886644,0.0518151007028775,-0.406092544786759,0.393354967508767,0.908048589695857,0.267406255159987,0.79215599214788,0.416608187968192,-0.0879491624802098,-0.500877450473333,-0.605834502877548,-0.20197333943395,0.582979709016836,0.564579627706325,-0.796294430708968,-0.103553852727026,0.547574883379396,-0.672141968030975,0.168189956951449,0.412783757556645,-0.290949110680956
"2010300C02Rik",-1.33974892473054,0.849137972733917,0.397108870959039,0.619716287681831,0.693874121222567,0.434008713969826,0.737514624379756,0.436132857888117,-1.83188769451174,0.976695101496725,0.615148495210988,-1.78786085758853,0.359633172529081,-1.78142139227254,0.831603776206748,-1.49226610091795,0.73306763213265,0.539562808892182,-1.31867640114517,0.784825205830673,0.698192748732186,0.876966606662799,0.498818514069386,-1.6618900372836,0.884441598005148,0.604606039570484,-1.31444084664571,0.284048212146164,0.534647005644464,0.670132091474846,0.793118470702428,-0.655993849205259,0.460067011087999,0.435295810488876,-2.26611676439755,0.787399813374096,-1.90744346702297,1.01034436652642,0.591121690293848,-0.744494793337314,0.778465341389458,-0.081778441462987,-1.39079892597812,0.659123535197304
"2010315B03Rik",-0.019946581213516,-0.165717073630216,0.200790483210171,-0.421137920294541,0.0424966234043351,0.12866202024119,0.361391392285607,0.0220364584320571,-0.0172163686411952,0.303296196087419,-0.0970810184588613,-0.140852326104482,0.301063538098779,0.102268173958632,0.0395705182847976,-0.0973348707282349,-0.170693205479889,-0.295532630093557,-0.332322422664072,-0.0282242220410129,0.632178505323102,-0.159834268979736,-0.0903253124769714,0.0871264710702788,0.0605851905473154,0.147497722774716,-0.183289136322091,-0.0984043054073895,0.352206277325388,-0.437794456542054,0.292211393369304,-0.224929404736505,-0.0662139613152393,0.117208983541609,-0.281011905208475,0.0576539709014274,-0.211828169399902,-0.21927194104638,-0.0540159110484244,-0.467131725251499,0.00702620464421111,1.28835962773922,-0.208000882465758,-0.0555197316895524
"2210408I21Rik",0.408413809514071,-0.113459540099489,0.61518442413912,-1.40487237328388,0.689401160177721,0.732962705781249,-0.253855875945322,-0.132120971718908,-0.113196570195054,0.251784672556833,-0.3954503986355,0.69008282263077,0.335580429030979,0.887348065553581,-0.541933077699292,-0.0137690554801364,-0.631520943014589,0.282516385518729,0.687222472168465,-0.723532475638359,-0.62262768283199,0.140095731039954,-0.0928622177949636,-0.661476117786028,-0.0197803486673056,0.372437935726262,0.602930242987159,-0.340271984472032,-0.155163814302367,-0.284227562247999,-0.378966954690453,-0.472403239959783,-0.3041978483623,0.191991804279052,0.280340788361293,-0.300906965224626,0.210057478180656,-0.741671555376989,0.0434360429288518,0.557334026465527,-0.216218711050602,0.93375854632325,0.358017529557699,-0.356410788443259
