"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","group","Punch","avoidance","name","wrap","PunchAPA","APA2"
"145B-CA1-1",-16.0034252944282,16.8539766891431,-1.66516788349225,-2.53149664418259,-2.48860539324775,4.23418623895732,-0.176531604584997,-1.82942278433094,2.24602144733282,"CA1 : no","CA1","no","145B-CA1-1","Principle Compent Analysis","CA1_","no"
"145B-DG-1",29.2399980169283,-0.462881291844188,1.96488499940297,-2.55143343205852,0.697932160342821,1.46974011570373,1.56366499424587,0.283839050090146,0.265452431514372,"DG : no","DG","no","145B-DG-1","Principle Compent Analysis","DG_","no"
"146A-CA1-2",-16.0820249272661,15.3308292856261,-5.20941934278629,-1.22306618798402,3.0900440692905,1.95624312910643,-3.79202152886499,-0.815598760203132,0.370608443956219,"CA1 : yes","CA1","yes","146A-CA1-2","Principle Compent Analysis","CA1_","yes"
"146A-CA3-2",-14.430394501018,-18.3136928032628,-0.218043354565245,6.94053862349799,7.35879798612712,2.57317911928476,-2.72398048466923,0.519651153793826,-2.97263839879652,"CA3 : yes","CA3","yes","146A-CA3-2","Principle Compent Analysis","CA3_","yes"
"146A-DG-2",28.5266253914939,-0.122309153297757,-1.9512746686442,2.23515486136802,-2.38940965151893,2.03057753661684,-1.23793606538664,-0.568748826938409,0.141238317652714,"DG : yes","DG","yes","146A-DG-2","Principle Compent Analysis","DG_","yes"
"146B-CA1-2",-12.7238354142775,15.8343140541761,1.26834213266002,-0.0314132224404592,-5.35441959648442,-2.81172865173018,2.66021349086726,-0.337677525249716,-0.519435477821737,"CA1 : no","CA1","no","146B-CA1-2","Principle Compent Analysis","CA1_","no"
"146B-CA3-2",-18.310390887423,-18.2532911829309,-1.60629449136658,-0.833829025939664,-1.24212990128305,-1.62415704809551,-0.187561402469906,2.626937992032,1.95135776047674,"CA3 : no","CA3","no","146B-CA3-2","Principle Compent Analysis","CA3_","no"
"146B-DG-2",7.85701322741466,-0.289211745391116,17.446482048481,-2.21862107463986,1.3967516673572,-1.03652123994847,0.86400249485281,1.52436301474635,3.18712731604816,"DG : no","DG","no","146B-DG-2","Principle Compent Analysis","DG_","no"
"146C-CA1-4",-13.4315909600641,18.077422119584,4.95568915566255,1.3959497887924,-6.34766788468785,5.33416353157048,9.15102374875758,0.150598165415357,0.996644307061316,"CA1 : yes","CA1","yes","146C-CA1-4","Principle Compent Analysis","CA1_","yes"
"146C-DG-4",26.7736172282998,1.58560487906011,4.0045092671668,4.83693797141827,-5.35338017174803,-0.240477091733013,-3.7317559366192,1.968317878808,-4.64886852476775,"DG : yes","DG","yes","146C-DG-4","Principle Compent Analysis","DG_","yes"
"146D-CA1-3",-10.862024279554,12.0028186460135,14.7663900322981,-7.11297733203674,6.39000820551813,7.94033779998256,-1.8618677605092,5.39194399024513,-10.9661461684321,"CA1 : no","CA1","no","146D-CA1-3","Principle Compent Analysis","CA1_","no"
"146D-CA3-3",-15.1375708248094,-17.8573982123503,2.57506279068092,2.62675875402214,-4.82587337880392,-2.07630075411368,1.38249916150301,2.97281970657826,4.00020314076356,"CA3 : no","CA3","no","146D-CA3-3","Principle Compent Analysis","CA3_","no"
"146D-DG-3",9.17370089122402,-1.35326277523966,20.280049874781,-6.01112244573164,-1.37517223798152,-1.97961747690499,-6.24469130194901,-14.2804277726191,2.6317097989539,"DG : no","DG","no","146D-DG-3","Principle Compent Analysis","DG_","no"
"147C-CA1-3",-15.5745495873061,16.015493461742,-7.42295698528971,1.84175671059217,1.79864447856046,-2.59888176248078,2.16855756644553,-2.90519703310635,-0.299925627227873,"CA1 : yes","CA1","yes","147C-CA1-3","Principle Compent Analysis","CA1_","yes"
"147C-CA3-3",-15.3685020176844,-17.6992953112756,0.257636886068399,9.56373874739042,4.49841437573696,-2.93373092726587,5.4296720366412,-2.64644112710159,-5.15078776354518,"CA3 : yes","CA3","yes","147C-CA3-3","Principle Compent Analysis","CA3_","yes"
"147C-DG-3",32.4396556405412,0.321850454021109,-5.84766536982778,5.02263395445769,-2.75560491802667,1.2805732645031,1.03383774793032,-1.24937088136113,-1.19283768499329,"DG : yes","DG","yes","147C-DG-3","Principle Compent Analysis","DG_","yes"
"147D-CA3-1",-17.3841130320007,-19.9142811495521,-3.36117219157832,-8.70211326669897,-1.39932856842696,0.960783272656819,5.40158275622492,-4.72172026403153,-2.97883713264899,"CA3 : no","CA3","no","147D-CA3-1","Principle Compent Analysis","CA3_","no"
"147D-DG-1",33.5577841828349,-1.61702377448305,-5.1779999493494,-13.6444939611488,6.0841508047525,-1.48621895464509,3.54010183850831,2.29758239452349,0.899815924676498,"DG : no","DG","no","147D-DG-1","Principle Compent Analysis","DG_","no"
"148A-CA1-3",-13.2256741348015,15.3200345461566,-5.17964361541795,0.610400617941302,-0.84278033822661,-2.87124253291903,-1.9887422773088,-0.46889659437537,-0.124950059770345,"CA1 : yes","CA1","yes","148A-CA1-3","Principle Compent Analysis","CA1_","yes"
"148A-CA3-3",-18.4801611051698,-19.782936099485,-4.85526846004994,-4.47635338875498,-4.19736130932975,-0.205360701636731,-7.6229889805269,4.14920970453189,1.25099514859316,"CA3 : yes","CA3","yes","148A-CA3-3","Principle Compent Analysis","CA3_","yes"
"148A-DG-3",29.1151357123669,-0.929576537356646,-1.23597004384448,1.50518583310326,2.05434445870317,-1.7303214622193,4.05106920076988,1.07624428354923,2.7287438786157,"DG : yes","DG","yes","148A-DG-3","Principle Compent Analysis","DG_","yes"
"148B-CA1-4",-12.2224031247446,14.0149218034933,15.1617194373312,-1.23499076428413,-2.36624665734955,-10.7608050366839,4.00124901130649,5.45334793910754,-3.82715956975603,"CA1 : no","CA1","no","148B-CA1-4","Principle Compent Analysis","CA1_","no"
"148B-CA3-4",-17.85010080096,-19.0776069653133,-4.84704714014973,-0.875269569219692,-2.39993332697841,-1.94835723157174,-1.93764087089881,1.99668158694628,0.144174723635572,"CA3 : no","CA3","no","148B-CA3-4","Principle Compent Analysis","CA3_","no"
"148B-DG-4",8.77050399332518,-0.658963192371651,7.92323742356538,3.34591790778961,0.402303756131619,-5.60158951548437,-4.61636438818196,2.41679528454561,1.23571873890164,"DG : no","DG","no","148B-DG-4","Principle Compent Analysis","DG_","no"
