Year,ID,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,       filename,p-miss ,TotalTime(s),TotalPath(Arena),Speed (Arena),sd Speed(Arena),Linearity(Arena),TotalPath(m),#Entrances,Time1stEntr,Path1stEntr,Speed1stEntr(cm/s),Entr/Dist(1/m),#Shock,Time1stShock,Path1stShock,Speed (cm/s),SdSpeed,Linearity,MaxTimeAvoid,MaxPathAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW  ,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50%RngLoBin    ,Min50%RngHiBin    ,PolarMaxVal,PolarMaxBin,Max50%RngLoBin    ,Max50%RngHiBin    ,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis
2013,bl5,WT,2-day,train,trained,1,T1,On,N/A,JuanMarcos,AnimalRoom,MBL,bl5D1Train1_Room_Train,0.00000,600,14.75,2.46,2.84,0.3195,17.89,7,8.47,0.4,18.75,0.39,7,8.47,0.4,2.98,2.79,0.566,252,8.09,31.2,1,2.31,5.732,0.0142,0.3225,0.5993,0.064,0.64,150.7,234.42,54.3,1.00E-04,350,190,130,0.0915,160,120,210,0.0046,19.4,0.4077,16.6,15.57,11.92,2.05,11.33
2013,bl5,WT,2-day,train,trained,1,T2,On,N/A,JuanMarcos,AnimalRoom,MBL,bl5D1Train2_Room_Train,0.00533,600,13.22,2.20,2.85,0.2967,16.37,4,5.17,0.09,1.91,0.24,8,5.17,0.09,2.73,2.66,0.6157,280,7.09,39.87,0.98,1.61,12.9,0.0316,0.1093,0.3711,0.488,0.53,226.5,226.35,101.76,7.00E-04,20,270,200,0.09,250,180,280,0.0024,3.5,0.2807,16.6,16.36,18.86,3.22,18.05
2013,bl5,WT,2-day,train,trained,1,T3,On,N/A,JuanMarcos,AnimalRoom,MBL,bl5D1Train3_Room_Train,0.00000,600,11.54,1.92,2.18,0.3158,13.92,3,119.40,2.47,1.78,0.22,3,119.4,2.47,2.32,2,0.5467,265,2.95,202.23,4.51,2.31,2.332,0.0059,0.8136,0.1613,0.0192,0.81,105.44,195.56,38.5,0,10,120,80,0.1042,100,70,140,6.00E-04,8.5,0.4362,16.6,17.19,11.82,5.52,44.96
2013,bl5,WT,2-day,train,trained,2,Retest,On,N/A,JuanMarcos,AnimalRoom,MBL,bl5D2Retest_Room_Train,0.00000,600,13.87,2.31,2.68,0.3388,16.30,3,58.57,1.79,14.97,0.18,3,58.57,1.79,2.72,2.53,0.5744,272,7.81,331.2,9.32,3.14,2.733,0.0068,0.1973,0.7271,0.0687,0.72,163.5,247.86,47.75,2.00E-04,0,200,150,0.0946,160,120,200,3.00E-04,8.5,0.4881,16.6,17.02,6.23,1.22,8.45
2013,bl6,WT,2-day,N/A,control,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl6D1Hab_Room_Control,0.00000,600,30.47,5.08,3.94,0.5505,32.38,27,2.93,0.16,10.32,0.83,53,2.93,0.16,5.4,3.99,0.6475,57,3.3,47.83,2.35,8.98,93.832,0.2226,0.2073,0.3412,0.2289,0.11,187.49,193.18,102.41,0.0162,30,280,140,0.048,160,100,270,6.00E-04,19.4,0.2819,15,13.95,21.03,1.54,5.59
2013,bl6,WT,2-day,N/A,control,1,T1,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl6D1Train1_Room_Control,0.00000,600,22.75,3.79,3.24,0.4699,23.63,18,17.47,0.84,9.73,0.76,49,17.47,0.84,3.94,3.06,0.5963,73,3.08,36.53,1.61,4.13,89.966,0.2204,0.1727,0.2483,0.3586,0.13,255.72,179,113.16,0.0145,30,300,170,0.0525,280,150,320,8.00E-04,19.4,0.3099,15,14.01,18.7,1.56,5.89
2013,bl6,WT,2-day,N/A,control,1,T2,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl6D1Train2_Room_Control,0.00000,600,19.49,3.25,2.78,0.4499,21.23,12,10.50,0.33,11.11,0.57,31,10.5,0.33,3.54,2.71,0.6238,121,4.07,132.2,4.72,9.94,60.167,0.15,0.3197,0.3431,0.1873,0.26,144.08,200.73,90.15,0.0093,20,190,90,0.0628,120,80,210,0.002,19.4,0.2499,13.2,13.58,22.63,1.18,4.23
2013,bl6,WT,2-day,N/A,control,1,T3,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl6D1Train3_Room_Control,0.00000,600,17.02,2.84,2.57,0.4083,19.16,13,12.53,0.39,10.83,0.68,37,12.53,0.39,3.19,2.43,0.637,124,4.29,43.33,1.42,5.32,70.967,0.1763,0.4257,0.2572,0.1408,0.37,107.47,186.28,80.7,0.0081,230,160,80,0.0626,140,60,170,0.0115,19.4,0.2231,13.2,13.98,22.98,1.08,4
2013,bl6,WT,2-day,N/A,control,2,Retest,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl6D2Retest_Room_Control,0.00000,600,16.08,2.68,2.09,0.4517,17.01,13,10.83,0.27,3.7,0.76,37,10.83,0.27,2.84,2.04,0.587,91,2.09,36.07,0.87,3.28,71.833,0.176,0.1763,0.3606,0.287,0.18,209.43,199.35,105.27,0.0148,330,280,160,0.0539,200,140,290,0.0498,18,0.2585,13.2,12.68,23.13,1.11,4.18
2013,bl7,WT,2-day,train,trained,1,Hab,Off,N/A,JuanMarcos,AnimalRoom,MBL,bl7D1Hab_Room_Train,0.00000,600,26.22,4.37,3.54,0.5057,26.64,23,3.10,0.31,14.55,0.86,57,3.1,0.31,4.44,3.48,0.5594,70,4.42,38.67,2.27,7.73,113.398,0.2795,0.2857,0.1852,0.2495,0.12,341.01,164.97,104.2,0.0157,180,40,260,0.0555,320,230,40,0.0271,19.4,0.271,16.6,14.08,24.94,1.31,4.06
