"ID","subfield","treatment","training","Prkcz","Prkci","Wwc1","Grin1","Gria1","Pick1","Nsf","Fmr1","Camk2a","Fos","Fosl2","Npas4","Arc"
"15147D","DG","standard.yoked","yoked",9.10462328422744,7.84821356668638,8.22910547717933,10.9161673847364,11.6801531955885,7.49030081340234,11.5410118748175,8.15054346700094,13.103283279,8.95933525887674,8.24893632124916,8.94755221693098,8.07213098358465
"15148A","DG","conflict.trained","trained",9.0902803964562,7.97403588450555,8.3316443393026,10.755071585622,11.5323179114506,7.36190630245703,11.3872262882262,8.23626129709959,12.9409458721257,10.9922391882147,9.5344004197411,10.1973734443091,10.1967123761121
"15148B","DG","conflict.yoked","yoked",9.05825826543322,7.96138142686513,8.01334189771022,10.8621323661355,11.3305775777663,7.44262794729775,11.6695715263931,7.79146225993962,12.6885245793191,10.0733183226917,8.89982016656779,9.72504436864729,9.83870240805456
"15143B","CA1","conflict.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15143C","CA1","standard.trained","trained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15143D","CA1","standard.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15144A","CA1","conflict.trained","trained",8.48099338409022,7.25758108755117,7.60493663032915,10.4240181450978,10.8721670291071,7.51554170438576,11.4201081000886,7.56105319419395,12.2903695124513,9.85592873387965,7.97606383036754,7.51554170438576,9.20857519978294
"15144B","CA1","conflict.yoked","yoked",9.02047788761911,7.78987581674947,8.5680904769986,10.7766675737366,11.3059109604118,7.44952348569594,11.6789565586115,7.78987581674947,12.9429324623563,10.205795152048,7.5255191223065,9.02047788761911,9.82141475495197
"15144C","CA1","standard.trained","trained",9.33013377068566,7.49150065969392,7.7619252547479,10.4059965251117,11.0988295167103,7.283241919164,11.4931666710598,7.95206144972459,12.786807303144,10.384651100102,7.82439813914034,7.26407273566883,9.41338079660514
"15145A","CA1","conflict.trained","trained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15145B","CA1","conflict.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15146A","CA1","conflict.trained","trained",8.92501215640747,7.31217278098751,7.71072994117728,10.2228723649454,10.5902387385889,7.48019513065393,11.2377576282624,7.79456619115566,12.791300594195,10.6167482076567,7.9979919179793,7.07317518529845,9.44148255121816
"15146B","CA1","conflict.yoked","yoked",8.89031936695656,7.55078365897155,7.70574170110124,10.7652859130467,11.121761850694,7.5341639354939,11.7012282716335,7.16374867983515,12.5677161769652,9.53838964618683,8.11462515680621,6.94704589646679,9.07483933425965
"15146C","CA1","standard.trained","trained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15146D","CA1","standard.yoked","yoked",9.01172253444789,7.60385753598317,8.02419490517113,10.6937342151777,11.318661279397,7.47094292438071,11.4758348480966,8.01591235732513,12.6528813241414,9.64239139435406,7.73423150448362,7.32865749001886,9.13884709954269
"15147C","CA1","standard.trained","trained",8.84986830297833,7.43054154622489,8.12567454580104,10.5076158611909,10.9899025884743,7.33369913918436,10.9127590326266,7.76608164409661,12.7311009013702,10.3265334044736,8.35555793912714,6.86571488823065,8.56132730009622
"15148A","CA1","conflict.trained","trained",8.92899003217385,7.14930949096524,7.65890311178252,10.8387112935283,10.6920625181144,7.48614315913762,11.6514555123432,7.71351514900761,12.3113324457065,9.02259035194553,7.57555290695592,6.94955068032668,9.64055579182424
"15148B","CA1","conflict.yoked","yoked",8.64218050202454,7.67132552099155,8.02252487792527,11.2115026440203,11.2054021662942,7.34673895836299,11.6170638774305,7.64733054902267,12.6144025590989,9.54068840816775,7.57244052170396,7.39543332797811,9.14799468047505
"15143A","CA3","conflict.trained","trained",9.05223801984851,7.71933846031816,8.30109879513479,10.6806643969314,11.529052201921,7.53050383493001,11.4957344018109,8.02773184616767,13.214959012104,11.2731042520546,10.0470635559793,11.7070776350969,11.2482437427953
"15144A","CA3","conflict.trained","trained",9.00439462640594,7.85225162087965,8.45178467565631,10.6999615130263,11.7500695980864,7.47478127949026,11.6132112968841,8.40165374412176,13.4586234328405,11.5151296501052,11.3748614047546,12.7338724391092,11.4653180449628
"15144B","CA3","conflict.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15144C","CA3","standard.trained","trained",8.90300308247889,7.88849798046197,8.41060767959784,10.7368540728736,11.6732490819466,7.27232692162154,11.6280181435766,8.219558597902,13.0140741056343,11.7655828730295,11.0541316229358,12.631029882537,12.1241751552459
"15144D","CA3","standard.yoked","yoked",9.09480053734188,7.73695543425332,8.43854157862019,10.6985729497578,11.755031487608,7.61101836042122,11.7211938209831,8.01214128846951,13.1854005845164,8.21315253693439,8.48947208469862,8.59489917715577,8.46815650266835
"15145A","CA3","conflict.trained","trained",8.98853529309965,7.96571645493673,8.29665922363787,10.8565023365922,11.6911765232262,7.26000128506191,11.639242159398,8.0565990540512,12.980025210595,10.3145138169354,9.47143002098833,11.3420224597494,10.184856660901
"15146A","CA3","conflict.trained","trained",8.94113995805203,7.55247764413262,8.33391885217513,10.8770824568739,11.7031695530709,7.42118685391122,11.5021752625761,8.25612394271698,13.1430914542203,11.4281101487233,9.97282912611492,11.8662826482748,11.0414187701999
"15146B","CA3","conflict.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15146D","CA3","standard.yoked","yoked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15147C","CA3","standard.trained","trained",9.16037439709856,7.93281803477847,8.50972323672646,10.8468949485349,11.4549489672088,7.52036800799719,11.269526701807,8.50565636651074,13.2754215256123,10.9386239448062,10.6585841105394,12.1577118732922,11.1198836695452
"15147D","CA3","standard.yoked","yoked",9.10462328422744,7.84821356668638,8.22910547717933,10.9161673847364,11.6801531955885,7.49030081340234,11.5410118748175,8.15054346700094,13.103283279,8.95933525887674,8.24893632124916,8.94755221693098,8.07213098358465
"15148A","CA3","conflict.trained","trained",9.0902803964562,7.97403588450555,8.3316443393026,10.755071585622,11.5323179114506,7.36190630245703,11.3872262882262,8.23626129709959,12.9409458721257,10.9922391882147,9.5344004197411,10.1973734443091,10.1967123761121
"15148B","CA3","conflict.yoked","yoked",9.05825826543322,7.96138142686513,8.01334189771022,10.8621323661355,11.3305775777663,7.44262794729775,11.6695715263931,7.79146225993962,12.6885245793191,10.0733183226917,8.89982016656779,9.72504436864729,9.83870240805456
