"ID","Day","treatment","training","trial","trialNum","ShockOnOff","PairedPartner","TotalPath","Speed","sdSpeed","Linearity","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr","EntrPerDist","NumShock","MaxTimeAvoid","MaxPathAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeShockZone","pTimeShockZone","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","Min50%RngLoBin","AnnularSkewnes","AnnularKurtosis","ShockPerEntrance"
"15142B",1,"conflict.yoked","yoked","T3",4,"On","15142A",14.7,2.45,3.3,0.2861,5,94.37,2.66,13.31,0.28,2,417,12.85,142.57,5.32,1.98,33,0.0825,0.0731,0.1999,0.6446,0.59,247.1,260,2.91,17.89,0.4
"15142B",2,"conflict.yoked","yoked","Retest",5,"On","15142A",15.41,2.57,2.86,0.3272,6,88.6,2.32,1.93,0.35,0,231,5.88,319.63,8.01,9.93,73.032,0.1805,0.1568,0.206,0.4567,0.35,271.16,320,1.88,8.8,0
"15142B",2,"conflict.yoked","yoked","T4_C1",6,"On","15142A",17.37,2.9,3.52,0.3306,10,9.63,0.17,1.96,0.49,7,169,6.91,85.27,3.66,21.78,64.264,0.1194,0.3454,0.3838,0.1513,0.39,119.44,130,1.75,9.87,0.7
"15142B",2,"conflict.yoked","yoked","T5_C2",7,"On","15142A",16.21,2.7,4.04,0.2254,7,1.03,0,1.76,0.43,3,273,3.12,32.4,1.06,2.24,31.368,0.0589,0.1476,0.508,0.2855,0.41,177.64,230,2.08,11.01,0.428571428571429
"15142B",2,"conflict.yoked","yoked","T6_C3",8,"On","15142A",15.4,2.57,3.03,0.3115,15,3.47,0.13,15.93,0.82,3,122,3.76,51.23,1.7,1.82,108.367,0.2071,0.4371,0.1794,0.1764,0.31,68.98,120,1.29,5.51,0.2
"15142B",3,"conflict.yoked","yoked","Retention",9,"Off","15142A",15.57,2.68,2.55,0.3876,12,157.7,3.67,10.73,0.7,0,157,3.67,165.93,3.97,7.13,77.468,0.1527,0.0611,0.3992,0.387,0.29,228.7,260,2.03,9.86,0
"15142C",1,"standard.trained","trained","Hab",1,"Off","15142D",29.65,4.94,4.07,0.5227,34,0.5,0,-1,1.07,0,55,4.63,10.3,0.93,14.6,96.867,0.2343,0.1785,0.2963,0.2908,0.1,250.81,330,1.64,5.43,0
"15142C",1,"standard.trained","trained","T1",2,"On","15142D",14.92,2.49,2.46,0.3279,5,5.43,0.36,18.59,0.29,5,442,2.06,18.17,1.04,2.82,4.998,0.0126,0.4273,0.4955,0.0645,0.62,142.61,180,1.89,8.68,1
"15142C",1,"standard.trained","trained","T2",3,"On","15142D",15.25,2.54,2.37,0.3686,1,454.63,11.72,3.51,0.06,1,454,11.72,599.97,15.99,-1,0.7,0.0019,0.224,0.6767,0.0974,0.74,156.69,170,2.39,11.25,1
"15142C",1,"standard.trained","trained","T3",4,"On","15142D",15.43,2.57,3.06,0.3458,1,64.83,1.16,1.82,0.07,1,535,1.16,599.97,14.98,-1,0.767,0.0019,0.3997,0.5756,0.0227,0.81,141.95,160,1.57,8.38,1
"15142C",2,"standard.trained","trained","Retest",5,"On","15142D",13.72,2.29,2.23,0.3753,1,148.13,3.5,1.75,0.07,1,451,3.5,599.97,14.41,-1,0.701,0.0017,0.1063,0.8583,0.0338,0.82,164.08,180,2.11,15.62,1
"15142C",2,"standard.trained","trained","T4_C1",6,"On","15142D",13.8,2.3,2.2,0.3786,0,599.97,14.26,-1,0,0,599,14.26,599.97,14.26,-1,0,0,0.0497,0.9132,0.037,0.86,176.32,190,1.58,8.85,0
"15142C",2,"standard.trained","trained","T5_C2",7,"On","15142D",13.9,2.32,2.14,0.3849,0,599.97,14.13,-1,0,0,599,14.13,599.97,14.13,-1,0,0,0.1729,0.7762,0.0508,0.8,163.69,180,2.08,11.93,0
"15142C",2,"standard.trained","trained","T6_C3",8,"On","15142D",13.09,2.18,1.96,0.3901,0,599.97,12.79,-1,0,0,599,12.79,599.97,12.79,-1,0,0,0.0209,0.9578,0.0213,0.87,173.55,190,1.93,9.73,0
"15142C",4,"standard.trained","trained","Retention",9,"Off","15142D",18.52,3.09,2.67,0.4565,3,482.43,13.14,2.73,0.17,0,482,13.14,544.53,15.36,2.97,18.1,0.0445,0.1189,0.7355,0.1011,0.65,173.07,180,2.41,9.87,0
"15142D",1,"standard.yoked","yoked","Hab",1,"Off","15142C",13.11,2.19,1.98,0.342,19,24.33,0.28,0.7,1.28,0,65,0.93,61.1,0.85,1.13,105.467,0.2676,0.4001,0.2192,0.1131,0.29,90.12,140,0.33,2.81,0
"15142D",1,"standard.yoked","yoked","T1",2,"On","15142C",8.33,1.39,1.86,0.2135,12,58.43,1.51,1.1,0.94,5,102,2.58,120.8,3.14,2.54,97.802,0.2407,0.1179,0.2734,0.3681,0.25,267.26,340,0.78,3.87,0.416666666666667
"15142D",1,"standard.yoked","yoked","T2",3,"On","15142C",12.2,2.03,1.94,0.3059,16,9.6,0.15,1.69,1.04,1,119,2.62,129.57,2.87,5.64,98.433,0.2485,0.2762,0.226,0.2493,0.06,37.71,110,1.13,4.65,0.0625
"15142D",1,"standard.yoked","yoked","T3",4,"On","15142C",8.47,1.41,1.38,0.2523,15,34.17,0.63,2.04,1.25,1,80,1.68,92.97,1.9,1.75,115.302,0.3034,0.4076,0.1221,0.1669,0.28,66.78,140,0.29,1.97,0.0666666666666667
"15142D",2,"standard.yoked","yoked","Retest",5,"On","15142C",7.71,1.29,1.38,0.2363,15,21.23,0.38,1.96,1.24,1,71,1.33,79.2,1.49,1.82,115.436,0.2812,0.3485,0.1799,0.1904,0.17,70.24,120,0.52,2.62,0.0666666666666667
"15142D",2,"standard.yoked","yoked","T4_C1",6,"On","15142C",9.7,1.62,1.58,0.3006,12,54.77,1.11,1.82,0.98,0,170,3.23,69.57,1.36,3.98,90.399,0.2155,0.2772,0.3749,0.1324,0.22,131.95,190,0.57,3.24,0
"15142D",2,"standard.yoked","yoked","T5_C2",7,"On","15142C",7.38,1.23,1.28,0.2337,8,21.1,0.3,1.34,0.72,0,150,2.33,86.47,1.23,1.26,77.899,0.1988,0.365,0.2395,0.1967,0.24,128.7,210,1.02,3.46,0
"15142D",2,"standard.yoked","yoked","T6_C3",8,"On","15142C",8.87,1.48,1.46,0.2771,15,29.93,0.55,2.04,1.2,0,114,2.31,44.73,0.84,14.72,112.938,0.286,0.2493,0.2758,0.1889,0.13,108.92,160,0.57,2.72,0
"15142D",4,"standard.yoked","yoked","Retention",9,"Off","15142C",20.53,3.42,2.75,0.4658,22,7.93,0.27,3.22,1.07,0,53,1.5,29,0.66,6.86,96.399,0.2346,0.2515,0.2316,0.2823,0.06,296.04,70,1.02,3.5,0
"15143A",1,"conflict.trained","trained","Hab",1,"Off","15143B",21.38,3.56,3.12,0.4609,29,12.43,0.76,11.74,1.16,0,78,4.71,26.4,1.52,5.98,105.065,0.2768,0.1913,0.2475,0.2844,0.11,304.23,30,1.73,6.43,0
"15143A",1,"conflict.trained","trained","T1",2,"On","15143B",16.29,2.71,2.96,0.334,10,3.67,0.19,10.05,0.52,10,177,5.36,61.6,1.71,2.52,8.202,0.0215,0.2897,0.4949,0.1939,0.48,162.32,210,2.21,9.08,1
"15143A",1,"conflict.trained","trained","T2",3,"On","15143B",12.77,2.13,2.51,0.3056,3,27,0.58,1.97,0.18,3,382,10.62,120.53,3.25,1.82,2.301,0.0056,0.3894,0.5841,0.0209,0.76,143.11,170,3.34,19.81,1
"15143A",1,"conflict.trained","trained","T3",4,"On","15143B",13.87,2.31,2.4,0.3501,1,585.8,15.72,1.23,0.06,1,585,15.72,599.97,16.22,-1,0.633,0.0017,0.3282,0.6701,0,0.87,143.8,160,3.17,17.42,1
"15143A",2,"conflict.trained","trained","Retest",5,"On","15143B",17.42,2.9,3.45,0.3145,2,98.2,2.28,1.82,0.12,2,385,10.53,483.97,13.46,6.27,1.299,0.0033,0.4741,0.4828,0.0398,0.73,138.3,160,3.63,23.89,1
"15143A",2,"conflict.trained","trained","T4_C1",6,"On","15143B",13.01,2.17,2.87,0.2704,12,0.5,0,-1,0.59,14,245,8.84,4.83,0.2,7.67,16.098,0.0342,0.0164,0.0431,0.9063,0.8,278.8,300,2.3,17.34,1.16666666666667
