"ID","Year","Genotype","TrainProtocol","TrainSequence","TrainGroup","Day","TrainSession","ShockOnOff","PairedPartner","Experimenter","Housing","TestLocation","APA","APA2","TrainSessionCombo","pair1","pair2","TrainSessionComboNum","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"15141C",2015,"WT","3-day","train-train","trained",1,"T1","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15141C_T1","15141D_T1",2,2.53,0.3778,8,1.37,0.04,6.92,0.43,8,249,56.47,1.92,2.87,8.001,0.0201,0.3376,0.4619,0.1804,0.48,163.4,230.64,71.09,2e-04,0,190,110,0.0637,110,90,200,0.0306,3.5,0.3311,16.6,14.6,18.78,1.89,7.59,0.0291970802919708,0.0340003541703559
"15141C",2015,"WT","3-day","train-train","trained",1,"T2","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15141C_T2","15141D_T2",3,3.1,0.2832,19,33.1,0.52,1.99,0.95,19,131,61.53,1.31,1.91,18.398,0.047,0.5266,0.278,0.1484,0.42,116.8,203.89,74.71,0.0011,340,120,40,0.0707,90,20,130,0.0041,3.5,0.336,16.6,15.35,14.58,1.05,3.99,0.0157099697885196,0.0212904274337721
"15141C",2015,"WT","3-day","train-train","trained",1,"T3","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15141C_T3","15141D_T3",4,2.85,0.2624,10,32,0.52,1.81,0.54,11,118,77.23,1.96,1.89,9.433,0.0231,0.5831,0.2738,0.1199,0.51,118.61,210.6,66.28,2e-04,340,130,60,0.0735,80,50,150,0.0128,3.5,0.3511,16.6,15.17,15.1,2.18,9.96,0.01625,0.0253787388320601
"15141C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15141C_Retest","15141D_Retest",5,4.03,0.2666,7,41.17,0.84,1.96,0.31,7,355,70.4,2.24,2.18,8.133,0.0196,0.2927,0.5434,0.1443,0.54,154.94,222.88,68.15,2e-04,10,200,130,0.0866,160,120,220,0.0035,19.4,0.495,16.6,15.68,12.5,2.55,13.39,0.02040320621812,0.0318181818181818
"15141C",2015,"WT","3-day","train-train","trained",2,"T4","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15141C_T4_C1","15141D_T4_C1",6,2.82,0.2786,10,39.7,0.92,2.04,0.57,10,195,55,1.37,1.97,8.064,0.0203,0.5017,0.392,0.0861,0.61,129.33,217.72,57.46,1e-04,320,160,100,0.0863,120,90,180,0.0096,3.5,0.436,16.6,15.81,12.09,2.48,12.38,0.0231738035264484,0.0249090909090909
"15141C",2015,"WT","3-day","train-train","trained",2,"T5","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15141C_T5_C2","15141D_T5_C2",7,2.84,0.2529,7,0.33,0,-1,0.39,7,234,35,1.12,14,3.901,0.0095,0.3852,0.4381,0.1671,0.46,151.12,227.22,69.21,2e-04,0,190,100,0.0561,160,100,220,0.0102,8.5,0.4696,15,14.99,12.28,2.59,14.43,0,0.032
"15141C",2015,"WT","3-day","train-train","trained",2,"T6","On","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15141C_T6_C3","15141D_T6_C3",8,3.08,0.2133,12,3.13,0.06,2.1,0.68,12,113,28.37,0.78,2.17,6,0.016,0.6278,0.3118,0.0443,0.67,116.37,207.54,51.98,0,310,140,90,0.0874,140,70,150,0.0034,8.5,0.5524,16.6,15.79,11.88,3.93,24.59,0.0191693290734824,0.0274938315121607
"15141C",2015,"WT","3-day","train-train","trained",3,"Retention","Off","15141D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15141C_Retention","15141D_Retention",9,2.2,0.2746,8,30.53,0.79,1.91,0.51,21,172,83.57,1.84,1.69,35.798,0.0909,0.2891,0.2836,0.3365,0.3,186.05,226.21,88.1,0.0058,340,270,160,0.0594,230,150,290,0.015,3.5,0.3389,16.6,15.08,16.34,1.78,6.91,0.0258761873566983,0.0220174703841091
"15142C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15142C_Hab","15142D_Hab",1,4.07,0.5227,34,0.5,0,-1,1.07,57,55,10.3,0.93,14.6,96.867,0.2343,0.1785,0.2963,0.2908,0.1,250.81,184.8,109.29,0.0164,80,330,190,0.0439,260,140,310,0.0082,18,0.3731,15,13.3,20.53,1.64,5.43,0,0.0902912621359223
"15142C",2015,"WT","3-day","train-train","trained",1,"T1","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15142C_T1","15142D_T1",2,2.46,0.3279,5,5.43,0.36,18.59,0.29,5,442,18.17,1.04,2.82,4.998,0.0126,0.4273,0.4955,0.0645,0.62,142.61,229.87,55.99,2e-04,10,180,120,0.0791,120,100,190,0.0057,3.5,0.3855,15,15.26,11.86,1.89,8.68,0.0662983425414365,0.0572372041827188
"15142C",2015,"WT","3-day","train-train","trained",1,"T2","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15142C_T2","15142D_T2",3,2.37,0.3686,1,454.63,11.72,3.51,0.06,1,454,599.97,15.99,-1,0.7,0.0019,0.224,0.6767,0.0974,0.74,156.69,237.96,47.97,0,0,170,130,0.1217,150,120,190,4e-04,3.5,0.5109,16.6,16.29,10.18,2.39,11.25,0.0257792050678574,0.0266513325666283
"15142C",2015,"WT","3-day","train-train","trained",1,"T3","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15142C_T3","15142D_T3",4,3.06,0.3458,1,64.83,1.16,1.82,0.07,1,535,599.97,14.98,-1,0.767,0.0019,0.3997,0.5756,0.0227,0.81,141.95,229.63,38.24,0,0,160,130,0.1281,150,110,170,7e-04,19.4,0.3837,16.6,16.43,9.92,1.57,8.38,0.0178929507943853,0.0249679150624198
"15142C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15142C_Retest","15142D_Retest",5,2.23,0.3753,1,148.13,3.5,1.75,0.07,1,451,599.97,14.41,-1,0.701,0.0017,0.1063,0.8583,0.0338,0.82,164.08,251.6,36.59,0,0,180,150,0.1398,160,130,190,3e-04,3.5,0.5154,16.6,16.7,6.83,2.11,15.62,0.0236278944170661,0.0240178675600447
"15142C",2015,"WT","3-day","train-train","trained",2,"T4","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15142C_T4_C1","15142D_T4_C1",6,2.2,0.3786,0,599.97,14.26,-1,0,0,599,599.97,14.26,-1,0,0,0.0497,0.9132,0.037,0.86,176.32,263.48,31.77,0,0,190,170,0.1572,170,150,200,0.0022,8.5,0.5304,16.6,16.7,7.21,1.58,8.85,0.0237678550594196,0.0237678550594196
"15142C",2015,"WT","3-day","train-train","trained",2,"T5","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15142C_T5_C2","15142D_T5_C2",7,2.14,0.3849,0,599.97,14.13,-1,0,0,599,599.97,14.13,-1,0,0,0.1729,0.7762,0.0508,0.8,163.69,251.7,38.46,0,0,180,150,0.1269,160,130,190,0.0013,3.5,0.4522,16.6,16.42,9.11,2.08,11.93,0.0235511775588779,0.0235511775588779
"15142C",2015,"WT","3-day","train-train","trained",2,"T6","On","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15142C_T6_C3","15142D_T6_C3",8,1.96,0.3901,0,599.97,12.79,-1,0,0,599,599.97,12.79,-1,0,0,0.0209,0.9578,0.0213,0.87,173.55,263.84,29.82,0,0,190,160,0.1256,190,140,200,0.0059,8.5,0.5489,16.6,16.4,8.24,1.93,9.73,0.0213177325532943,0.0213177325532943
"15142C",2015,"WT","3-day","train-train","trained",4,"Retention","Off","15142D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15142C_Retention","15142D_Retention",9,2.67,0.4565,3,482.43,13.14,2.73,0.17,8,482,544.53,15.36,2.97,18.1,0.0445,0.1189,0.7355,0.1011,0.65,173.07,240.26,61.69,7e-04,40,180,140,0.1081,180,130,200,0.025,8.5,0.3735,16.6,15.03,16.14,2.41,9.87,0.027237112119893,0.0282078122417498
"15143C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15143C_Hab","15143D_Hab",1,3.44,0.5004,31,0.53,0,-1,1.15,52,46,7.3,0.31,3.93,96.04,0.2497,0.3902,0.1998,0.1603,0.21,72.85,170.69,90.15,0.0098,200,160,40,0.0484,70,20,170,0.0058,18,0.3355,15,12.86,19,1.58,5.59,0,0.0424657534246575
"15143C",2015,"WT","3-day","train-train","trained",1,"T1","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15143C_T1","15143D_T1",2,3.32,0.3674,10,4.13,0.3,6.01,0.45,10,161,112.03,3.5,10.43,9.198,0.024,0.2208,0.5306,0.2246,0.48,173.35,233.89,73.43,8e-04,0,200,120,0.0738,160,130,240,1e-04,19.4,0.3718,16.6,14.94,15.56,2.02,8.46,0.0726392251815981,0.0312416317057931
"15143C",2015,"WT","3-day","train-train","trained",1,"T2","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15143C_T2","15143D_T2",3,2.39,0.2837,3,25.37,0.44,2.04,0.19,3,441,112.2,2.58,1.96,2.499,0.0061,0.4628,0.494,0.0372,0.69,140.58,231.01,48.74,0,10,170,120,0.0839,160,100,180,0.001,3.5,0.5099,16.6,16.42,8.25,2.42,14.46,0.0173433188805676,0.0229946524064171
"15143C",2015,"WT","3-day","train-train","trained",1,"T3","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15143C_T3","15143D_T3",4,2.31,0.3188,1,306.87,7.95,5.34,0.06,1,306,599.97,15.47,-1,0.733,0.0018,0.28,0.6767,0.0415,0.77,154.03,242.54,41.59,0,0,170,130,0.0981,140,120,190,0.0032,3.5,0.3588,16.6,16.28,10.31,2.14,11.23,0.0259067357512953,0.0257846225644616
"15143C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15143C_Retest","15143D_Retest",5,2.54,0.3435,2,275.53,6.7,4.68,0.13,2,275,519.2,13.36,4.71,1.3,0.0034,0.1367,0.704,0.1558,0.7,185.73,260.1,51.4,0,0,230,180,0.0881,190,160,240,0.0057,8.5,0.4342,16.6,16.18,13.25,3.58,19.76,0.0243167713134686,0.0257318952234206
"15143C",2015,"WT","3-day","train-train","trained",2,"T4","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15143C_T4_C1","15143D_T4_C1",6,2.64,0.3168,0,599.97,16.08,-1,0,0,599,599.97,16.08,-1,0,0,0.1639,0.7016,0.1346,0.7,179.86,262.31,48.5,0,0,200,150,0.0994,180,140,220,0.005,8.5,0.4108,16.6,16.39,10.59,3,18.48,0.0268013400670033,0.0268013400670033
"15143C",2015,"WT","3-day","train-train","trained",2,"T5","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15143C_T5_C2","15143D_T5_C2",7,2.54,0.3004,1,18.77,0.7,2.92,0.06,1,581,599.97,15.42,-1,1.233,0.003,0.0763,0.8419,0.0788,0.8,180.36,267.65,38.66,0,0,200,160,0.1076,180,140,210,0.0026,3.5,0.3727,16.6,16.34,10.19,2.23,12.12,0.0372935535428876,0.0257012850642532
"15143C",2015,"WT","3-day","train-train","trained",2,"T6","On","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15143C_T6_C3","15143D_T6_C3",8,2.32,0.3549,0,599.97,14.58,-1,0,0,599,599.97,14.58,-1,0,0,0.0995,0.5978,0.3027,0.68,198.78,258.82,57.6,0,0,220,170,0.0849,200,160,240,0.0218,8.5,0.4087,16.6,15.77,11.57,1.81,7.4,0.024301215060753,0.024301215060753
"15143C",2015,"WT","3-day","train-train","trained",3,"Retention","Off","15143D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15143C_Retention","15143D_Retention",9,2.23,0.3409,1,516.47,12,0.78,0.07,1,516,599.97,14.7,-1,1.633,0.0039,0.2769,0.6295,0.0896,0.69,162.03,248.67,48.99,0,0,190,140,0.0827,180,130,210,0.0182,8.5,0.3924,16.6,15.41,16.98,2.54,10.83,0.0232346506089415,0.0245012250612531
"15144C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15144C_Hab","15144D_Hab",1,4.14,0.5015,42,1.33,0.15,11.79,1.33,64,33,5.77,0.33,6.2,115.464,0.2997,0.3136,0.2083,0.1785,0.18,32.8,157.62,92.62,0.0104,250,70,310,0.0456,320,270,70,0.0071,18,0.3614,13.2,13.23,16.13,1.79,8.03,0.112781954887218,0.0571923743500867
"15144C",2015,"WT","3-day","train-train","trained",1,"T1","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15144C_T1","15144D_T1",2,2.38,0.2976,9,2.8,0.08,19.17,0.53,9,128,32.87,1,1.26,8.767,0.0213,0.3202,0.5451,0.1134,0.57,152.28,230.86,62.13,4e-04,0,190,130,0.0751,170,110,200,0.017,3.5,0.39,16.6,15.12,15.58,1.68,6.18,0.0285714285714286,0.0304228780042592
"15144C",2015,"WT","3-day","train-train","trained",1,"T2","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15144C_T2","15144D_T2",3,2.41,0.32,3,57.33,1.12,1.91,0.19,3,394,452.03,11.57,2.31,2.965,0.0076,0.3059,0.6191,0.0674,0.66,156.97,242.75,52.18,0,0,190,130,0.0874,150,130,220,3e-04,19.4,0.4425,16.6,16.02,12.81,2.24,10.28,0.0195360195360195,0.0255956463066611
"15144C",2015,"WT","3-day","train-train","trained",1,"T3","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15144C_T3","15144D_T3",4,2.44,0.3175,2,28.97,0.56,2.04,0.13,2,505,94.8,2.17,1.69,1.4,0.0034,0.3051,0.6626,0.029,0.76,149.44,238.86,42.33,0,0,180,140,0.1061,160,120,190,2e-04,3.5,0.5138,16.6,16.67,6.34,1.1,8.55,0.0193303417328271,0.0228902953586498
"15144C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15144C_Retest","15144D_Retest",5,2.45,0.3688,1,593.9,15.03,7.72,0.06,1,593,599.97,15.51,-1,0.934,0.0022,0.0963,0.7887,0.1127,0.74,178.52,255.07,47.7,0,10,200,160,0.1157,180,140,210,5e-04,19.4,0.4411,16.6,16.11,12.71,2.5,11.68,0.0253072907896952,0.0258512925646282
"15144C",2015,"WT","3-day","train-train","trained",2,"T4","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15144C_T4_C1","15144D_T4_C1",6,2.88,0.3158,2,249.4,7.75,13.37,0.11,3,293,543.07,15.88,1.82,4.601,0.0116,0.4724,0.4281,0.0878,0.68,141.08,223.79,53.15,0,0,150,110,0.1007,120,100,170,9e-04,19.4,0.495,16.6,16.18,11.34,3.5,20.92,0.031074578989575,0.0292411659638721
"15144C",2015,"WT","3-day","train-train","trained",2,"T5","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15144C_T5_C2","15144D_T5_C2",7,2.31,0.3247,0,599.97,14.64,-1,0,0,599,599.97,14.64,-1,0,0,0.5809,0.413,0.0061,0.87,134.5,225.53,30.81,0,0,140,120,0.1624,140,100,150,0.002,3.5,0.4434,16.6,16.27,9.69,2.18,10.81,0.0244012200610031,0.0244012200610031
"15144C",2015,"WT","3-day","train-train","trained",2,"T6","On","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15144C_T6_C3","15144D_T6_C3",8,2.33,0.2937,1,46.53,0.96,1.47,0.07,1,553,599.97,14.83,-1,0.667,0.002,0.8173,0.1807,0,0.92,120.99,210.72,24.05,0,0,140,120,0.1771,120,100,150,8e-04,8.5,0.5107,16.6,16.6,6.93,1.31,5.26,0.0206318504190845,0.0247179025617948
"15144C",2015,"WT","3-day","train-train","trained",4,"Retention","Off","15144D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15144C_Retention","15144D_Retention",9,3.23,0.377,0,599.97,15.8,-1,0,0,599,599.97,15.8,-1,0,0,0.3502,0.6323,0.0175,0.83,145.1,234.48,35.74,0,0,150,130,0.1533,140,110,160,3e-04,19.4,0.4219,16.6,16.05,10.1,2.55,16.46,0.0263346500658366,0.0263346500658366
"15145C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15145C_Hab","15145D_Hab",1,3.98,0.5037,31,9.27,0.72,11.98,0.99,54,42,18.27,1.26,9.85,113.835,0.2874,0.2815,0.2088,0.2224,0.06,63.19,174.45,100.26,0.018,160,120,330,0.0379,120,340,160,0.0159,18,0.3335,15,13.36,17.72,1.58,6.01,0.0776699029126214,0.0689655172413793
"15145C",2015,"WT","3-day","train-train","trained",1,"T1","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T1","15145C_T1","15145D_T1",2,2.71,0.3253,10,2.9,0.09,12.86,0.56,10,150,20,0.76,2.54,9.601,0.0225,0.4252,0.4304,0.1219,0.52,142.7,222.84,65.7,0.001,0,170,100,0.0625,100,80,190,0.0034,3.5,0.4111,15,14.72,11.05,1.52,8.24,0.0310344827586207,0.038
"15145C",2015,"WT","3-day","train-train","trained",1,"T2","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T2","15145C_T2","15145D_T2",3,2.69,0.3448,6,14.83,0.4,1.75,0.33,7,252,38.87,1.44,12.6,8,0.0208,0.5325,0.3843,0.0624,0.6,127.9,212.14,60.39,2e-04,0,170,110,0.0731,110,90,180,0.0038,19.4,0.3933,15,15.15,13.21,1.82,8.61,0.0269723533378287,0.0370465654746591
"15145C",2015,"WT","3-day","train-train","trained",1,"T3","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T3","15145C_T3","15145D_T3",4,2.38,0.3169,5,18.03,0.45,1.63,0.31,5,361,57.73,1.76,1.98,5.033,0.0136,0.6351,0.3433,0.008,0.79,123.55,212.96,39.79,1e-04,330,140,110,0.122,140,100,160,7e-04,8.5,0.4396,18,16.8,8.46,0.89,4.06,0.0249584026622296,0.0304867486575437
"15145C",2015,"WT","3-day","train-train","trained",2,"Retest","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retest","15145C_Retest","15145D_Retest",5,2.89,0.4172,5,28,1.3,6.44,0.26,6,280,65.73,2.4,1.96,7.368,0.0168,0.6344,0.2927,0.056,0.63,116.24,203.51,57.86,8e-04,0,120,70,0.0914,100,60,140,0.0049,3.5,0.3259,15,15.43,14.7,1.25,5.3,0.0464285714285714,0.0365130077590141
"15145C",2015,"WT","3-day","train-train","trained",2,"T4","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T4_C1","15145C_T4_C1","15145D_T4_C1",6,2.5,0.3732,4,135.2,3.19,2.38,0.24,5,161,238.93,5.79,2.47,4.599,0.0124,0.4618,0.4756,0.0502,0.67,139.01,227.26,51.24,0,310,160,110,0.0987,130,100,180,0.006,19.4,0.2754,15,14.94,19.45,1.85,7.14,0.023594674556213,0.0242330389653874
"15145C",2015,"WT","3-day","train-train","trained",2,"T5","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T5_C2","15145C_T5_C2","15145D_T5_C2",7,2.44,0.3142,9,0.53,0,-1,0.55,9,224,39.53,1,2.52,7.2,0.0186,0.5915,0.341,0.049,0.61,120.4,213.32,56.32,1e-04,330,140,80,0.0756,80,70,160,0.0125,3.5,0.2929,16.6,15.33,18.19,1.41,5.05,0,0.0252972426005565
"15145C",2015,"WT","3-day","train-train","trained",2,"T6","On","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","T6_C3","15145C_T6_C3","15145D_T6_C3",8,2.55,0.301,13,31.9,0.63,1.96,0.84,13,86,67.13,1.48,1.56,9.401,0.0258,0.7546,0.1982,0.0213,0.72,100.7,194.1,46.7,0,0,120,70,0.0834,70,60,140,0.007,3.5,0.3347,18,15.85,17.63,1.3,4.7,0.0197492163009404,0.0220467749143453
"15145C",2015,"WT","3-day","train-train","trained",3,"Retention","Off","15145D","Maddy","AnimalRoom","MBL","Same","standard-trained","Retention","15145C_Retention","15145D_Retention",9,2.7,0.4011,10,68.53,1.59,2.52,0.56,28,128,87.8,2.01,1.1,52.701,0.1336,0.4494,0.2779,0.1391,0.38,106.49,185.94,79.74,0.0021,330,140,50,0.0677,70,40,160,0.0198,19.4,0.2559,15,14.1,21.38,1.41,5.23,0.0232015175835401,0.0228929384965831
"15146C",2015,"WT","3-day","train-train","trained",1,"Hab","Off","15146D","Maddy","AnimalRoom","MBL","Same","standard-trained","Hab","15146C_Hab","15146D_Hab",1,4.36,0.5104,35,15.8,1.18,15.05,1.04,58,42,26.67,2.36,14.58,101.073,0.2656,0.3268,0.1812,0.2264,0.16,76.83,174.89,94.6,0.0156,170,140,20,0.0481,140,20,170,0.02,18,0.2856,13.2,13.26,19.24,1.36,5.11,0.0746835443037975,0.0884889388826397
