"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","145A-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Ccr6",5.79792097911291,5.79792097911291,5.79792097911291,6.3838927431576,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291
"Ccr9",6.00266189302359,5.79792097911291,6.16880374796255,5.79792097911291,6.22600934735641,5.79792097911291,5.79792097911291,5.79792097911291,6.224148879409,6.0922926373818,6.22848608738038,6.32999581367957,6.08091217074918
"Ccrl2",5.94275535895326,6.51219978787452,5.79792097911291,6.13777583631765,5.79792097911291,5.79792097911291,6.36378895405733,6.23190420549957,6.09985557890259,6.7520789808854,6.21028215568731,5.79792097911291,6.28652382987929
"Ccs",6.73167855360597,6.87498973871508,6.16880374796255,6.71527284336393,6.57301478134742,5.79792097911291,6.69857099354163,6.6736238818126,6.88353037299523,6.83843615366006,6.5482908398375,6.81009691450627,6.57748016617665
"Ccsap",7.18550502345224,6.71402883175886,7.78872235387042,7.27489023531006,7.34882522704379,7.7029297295336,7.09905513911716,7.26388573815059,7.30717445006486,6.92714916687847,7.28447041830761,7.11152442685005,7.31198268799837
"Ccser1",6.51499297819525,6.51219978787452,6.99661173006259,6.74433809655362,6.57301478134742,6.60070257844287,6.52541301907359,6.82802486841856,6.46825388324829,6.51289375605189,6.78439946440884,6.19188989760723,6.75203868102639
"Ccser2",8.32145768414972,8.16000499776555,8.03416716481513,8.07902973095779,8.18289117643388,8.14454832481718,8.33427295776386,8.1797438914883,8.00908055307729,8.34527244941452,8.31031624842712,8.04693230359533,8.14966300056239
"Cct2",8.67792763505315,8.74420623659312,8.55703609714281,8.65991759054269,8.59935574077304,8.61498531343331,8.69251160865419,8.54167334821276,8.37708335340198,8.69204244075646,8.6428986943232,8.74239006628156,8.59521647670038
"Cct3",8.14316350181189,7.62702340141526,8.15621291063157,8.10469848991305,8.22050423478917,7.51338196867241,8.05002627840617,8.16216104828061,8.1389644303569,7.93500335798106,8.04842774933453,8.6436063347848,8.21875759927038
"Cct4",8.14316350181189,8.25392474773082,7.66716923211438,7.90370023963687,8.07708948823415,7.22382484024835,7.76107523621081,7.8091592164133,7.83652592296982,7.73679205369807,7.91366232090734,8.03095069075397,7.94455000808513
"Cct5",8.81769833759616,8.53930799952099,8.28580729883419,8.81955470270472,8.59935574077304,8.08054360858607,8.47337825589688,8.2602559083002,8.27802575721989,8.18604928839886,8.37878694588897,8.74000398830264,8.43950473989963
"Cct7",8.56685832848988,8.74420623659312,8.43605591960002,8.74732411077768,8.52887278809785,8.94796703040567,8.54655223840494,8.56490971279742,8.34950995231844,8.4629577888796,8.32583267069705,8.92954946978368,8.79666026287265
"Cct8",8.64944204110531,8.86577140102545,8.60680083758326,8.72059422194161,8.57413954442536,8.61498531343331,8.47638115979858,8.76103418250242,8.69707854189199,8.59558006624786,8.18147256702149,8.95025424857348,8.78243230469693
"Cct8l1",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.97565024682105,5.79792097911291,5.79792097911291,5.79792097911291,6.11992687137053,5.79792097911291
"Ccz1",6.55588679675163,7.55117713406461,6.85817896301034,7.05490655755214,6.94420421695366,6.91947305077529,7.05250994070643,7.12788098490287,7.29439407119089,6.87601045885572,6.95055188675953,7.03979775340153,7.22537561130995
"Cd109",6.96100345029416,5.79792097911291,7.80153325716578,6.4301316464168,6.77159505753461,5.79792097911291,6.50735933102665,6.52350943179416,6.3797318296214,6.63494876796705,7.26219042960534,6.4761544625771,6.84478386964136
"Cd14",6.51499297819525,7.07342074871035,6.94364171322764,7.20646072753044,6.18894765256599,6.26536257807974,7.21933804920154,6.2663850034612,6.78196619536376,6.57654359769345,6.55813798569872,6.4943913275196,6.71189678562978
"Cd151",6.47140764329951,6.61998239225951,5.79792097911291,6.77242020048512,6.44870669832753,7.0045905035685,6.82854665230664,6.7388614956008,6.62848854066525,6.85473143034421,6.68357133751238,6.69601138595238,6.61339875240303
"Cd160",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.04568107033321,5.79792097911291,5.79792097911291,6.10536968899937,5.79792097911291,6.34073004425432,5.97424176824464,6.30549265221265,6.22156488840593
"Cd163",6.37367346314902,6.21310074711845,5.79792097911291,6.62110573843537,5.79792097911291,5.79792097911291,5.9622333015132,6.2663850034612,5.79792097911291,5.79792097911291,6.04712153062895,6.1577488742619,6.04309649571116
"Cd163l1",5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,5.79792097911291,6.19433878485403,5.79792097911291,6.25554140016977,5.79792097911291,5.79792097911291,5.79792097911291
"Cd164",7.53043720619092,7.58968939134596,7.94604659844296,7.40035692082787,7.35703404830244,8.04734537441895,7.67597246128558,7.53858689239918,7.42192755531598,8.00140279259302,7.47124647831044,7.54316587986545,7.44801233444608
"Cd164l2",6.12123949132449,5.79792097911291,5.79792097911291,6.33344226761965,6.29163758153291,5.79792097911291,5.9622333015132,6.19433878485403,6.16737868529507,6.26869361647034,6.21028215568731,6.11992687137053,5.99818610328899
"Cd180",6.25421563294368,5.79792097911291,6.43684494962567,6.4301316464168,5.79792097911291,6.91947305077529,6.88690634572817,5.79792097911291,6.01161542902384,6.63494876796705,6.30961371797037,6.07693045650159,5.99818610328899
