"","gene","padj","tissue","comparison"
"176","Cpne6",0.0248457787763859,"CA1","consistent-yoked_consistent"
"177","Cpne7",0.0368273254672628,"CA1","consistent-yoked_consistent"
"178","Cpq",0.0666915336455457,"CA1","consistent-yoked_consistent"
"179","Crem",0.0873729434792686,"CA1","consistent-yoked_consistent"
"180","Crim1",0.090848134571436,"CA1","consistent-yoked_consistent"
"181","Crnkl1",0.0356779182900007,"CA1","consistent-yoked_consistent"
"182","Crtc3",0.0657512070840521,"CA1","consistent-yoked_consistent"
"183","Csf3r",0.0610057784623208,"CA1","consistent-yoked_consistent"
"184","Cstf1",0.0815608569249279,"CA1","consistent-yoked_consistent"
"185","Ctcfl",0.0880836642843458,"CA1","consistent-yoked_consistent"
"186","Ctf2",0.0223427416176214,"CA1","consistent-yoked_consistent"
"187","Cwc27",0.0356779182900007,"CA1","consistent-yoked_consistent"
"188","Cxcl12",0.0958445565441069,"CA1","consistent-yoked_consistent"
"189","Cyb5b",0.0497305858040052,"CA1","consistent-yoked_consistent"
"190","D1Ertd622e",0.0506195978902684,"CA1","consistent-yoked_consistent"
"191","D5Ertd579e",0.0612361619872122,"CA1","consistent-yoked_consistent"
"192","Dbt",0.0747458597841911,"CA1","consistent-yoked_consistent"
"193","Dcaf12",0.00926971385455188,"CA1","consistent-yoked_consistent"
"194","Dcdc2b",0.0218700468814591,"CA1","consistent-yoked_consistent"
"195","Dda1",0.0186831865899933,"CA1","consistent-yoked_consistent"
"196","Ddx19b",0.0710995800504889,"CA1","consistent-yoked_consistent"
"197","Ddx31",0.0758880865423759,"CA1","consistent-yoked_consistent"
"198","Ddx39",0.0556976843109107,"CA1","consistent-yoked_consistent"
"199","Dennd1b",0.0958445565441069,"CA1","consistent-yoked_consistent"
"200","Dhps",0.023924907379866,"CA1","consistent-yoked_consistent"
"201","Dhx34",0.0574960203388462,"CA1","consistent-yoked_consistent"
"202","Diaph2",0.0214948343742478,"CA1","consistent-yoked_consistent"
"203","Dnajb6",0.066775644011548,"CA1","consistent-yoked_consistent"
"204","Dnajc18",0.0896130020372893,"CA1","consistent-yoked_consistent"
"205","Dner",0.019268528212236,"CA1","consistent-yoked_consistent"
"206","Dok6",0.0899562425800852,"CA1","consistent-yoked_consistent"
"207","Dpf1",0.0508064287245582,"CA1","consistent-yoked_consistent"
"208","Dpp9",0.0873729434792686,"CA1","consistent-yoked_consistent"
"209","Drp2",0.0548031457309276,"CA1","consistent-yoked_consistent"
"210","Dtx3l",0.0396902042165591,"CA1","consistent-yoked_consistent"
"211","Dusp10",0.0929441057999276,"CA1","consistent-yoked_consistent"
"212","Dusp19",0.0948313715185043,"CA1","consistent-yoked_consistent"
"213","Eed",0.081562862357549,"CA1","consistent-yoked_consistent"
"214","Efcab12",0.0368273254672628,"CA1","consistent-yoked_consistent"
"215","Efcab14",0.0860038267249352,"CA1","consistent-yoked_consistent"
"216","Ehd2",0.0505971086679983,"CA1","consistent-yoked_consistent"
"217","Eif1ad",0.0538441447733751,"CA1","consistent-yoked_consistent"
"218","Eif2s1",0.0862947179145406,"CA1","consistent-yoked_consistent"
"219","Eif2s2",0.0579127494276275,"CA1","consistent-yoked_consistent"
"220","Eif4a1",0.077847561906141,"CA1","consistent-yoked_consistent"
"221","Eif4a2",0.0983993086123908,"CA1","consistent-yoked_consistent"
"222","Emc4",0.023924907379866,"CA1","consistent-yoked_consistent"
"223","Emc6",0.0497600738137886,"CA1","consistent-yoked_consistent"
"224","Eml2",0.0748414610106904,"CA1","consistent-yoked_consistent"
"225","Endog",0.0614755474785656,"CA1","consistent-yoked_consistent"
"226","Endov",0.0536646039275641,"CA1","consistent-yoked_consistent"
"227","Eng",0.0404114909261722,"CA1","consistent-yoked_consistent"
"228","Enkd1",0.0459456724411416,"CA1","consistent-yoked_consistent"
