"gene","pvalue","lfc","direction","logp"
"Mpped2",0.381615289931047,0.527606579911241,"neither",0.418374233025454
"Galnt18",0.381614230573164,0.429764232037795,"neither",0.418375438621596
"Tnfsf9",0.381614230573164,-3.25434825907495,"neither",0.418375438621596
"Adgre1",0.381509081770436,1.75504067700982,"neither",0.41849511926653
"Fkbp2",0.381509081770436,0.720374240676417,"neither",0.41849511926653
"Parp6",0.381509081770436,0.2769480019059,"neither",0.41849511926653
"Wdyhv1",0.381509081770436,-1.01234700876408,"neither",0.41849511926653
"Tmem109",0.381297673986615,-0.686869720776186,"neither",0.418735844025723
"Cradd",0.38117245143443,1.60471054589416,"neither",0.418878494765994
"Gm5148",0.380738622378938,-1.54628792349786,"neither",0.419373065830063
"Ddx42",0.380713613294804,-0.345049398441961,"neither",0.419401593705437
"Zc3h15",0.380650098755079,0.355586825437614,"neither",0.419474053198188
"1110038F14Rik",0.380367151695581,-0.758408683842259,"neither",0.419796995555145
"Gng11",0.379991450161255,2.16568501472368,"neither",0.420226174934666
"Acot3",0.379866745428563,-1.46225818727657,"neither",0.420368724105224
"Marveld1",0.379863309034126,1.1686565066831,"neither",0.420372652887909
"Clstn2",0.379119857333645,0.414810685882793,"neither",0.421223467737708
"Gid4",0.378898143646988,-0.585485844130633,"neither",0.421477522478621
"Zdhhc23",0.378770450143498,0.753408063401333,"neither",0.421623909922736
"Gmeb2",0.378713924035063,-0.704146560223051,"neither",0.42168872704071
"Yipf5",0.378713924035063,0.437539446093048,"neither",0.42168872704071
"AU040320",0.378625932807975,-0.349745584384438,"neither",0.421789643701063
"Pwp2",0.378455236459026,-0.561852425088733,"neither",0.421985481311864
"Hhip",0.378202906282522,1.72969989114776,"neither",0.422275138162548
"Hsbp1l1",0.378202906282522,-2.6200730847406,"neither",0.422275138162548
"Med12l",0.378142904309815,-0.626296508677394,"neither",0.422344044541984
"Poli",0.378132299369065,-0.875143553711228,"neither",0.422356224413085
"Suclg2",0.378132299369065,1.25382902176577,"neither",0.422356224413085
"Ndufb11",0.3776844820585,0.546748406481732,"neither",0.422870858685348
"Polr2c",0.377680193870375,-0.533733437084731,"neither",0.422875789645186
"Swi5",0.377680193870375,0.613408252696497,"neither",0.422875789645186
"Ccl27a",0.377679585533978,-0.652556521335345,"neither",0.422876489171816
"Eif4g3",0.377629695674916,-0.282435546101668,"neither",0.422933861406116
"Tbxas1",0.377629695674916,-2.71127101561326,"neither",0.422933861406116
"Lyrm5",0.377540193181631,-1.07100873819044,"neither",0.423036806292308
"Itpr1",0.377408385246214,-0.365318990182202,"neither",0.423188454924388
"Plxdc2",0.377408385246214,-0.717942336142334,"neither",0.423188454924388
"Kif13b",0.377369749241019,0.605988633711624,"neither",0.423232916741992
"Itgav",0.376985483449023,-0.718636864807241,"neither",0.4236753728164
"Lypla1",0.37689742628563,0.728528314052422,"neither",0.423776828201139
"Osbp",0.376616988154897,-0.481494126821656,"neither",0.424100094049759
"Rad21",0.376551822095692,-0.408228934635004,"neither",0.424175246551046
"Sfrp4",0.376551822095692,2.04639832449665,"neither",0.424175246551046
"Skap2",0.376551822095692,1.14810707029724,"neither",0.424175246551046
"Zscan22",0.376551822095692,-1.05984986895792,"neither",0.424175246551046
"Oxnad1",0.376545891754368,1.04624723098538,"neither",0.42418208633947
"Uggt2",0.37600444970853,0.557332597508322,"neither",0.424807015518015
"Nsdhl",0.375936834408861,0.67981680928849,"neither",0.424885119891955
"2310022A10Rik",0.375897232729276,-0.700415063349674,"neither",0.424930871452533
"Cryzl1",0.375897232729276,-0.617089372157439,"neither",0.424930871452533
"Extl2",0.375897232729276,0.434744185460651,"neither",0.424930871452533
"Mdh2",0.375897232729276,0.361473767656461,"neither",0.424930871452533
"Gns",0.375880363739505,0.4024144759881,"neither",0.424950361549627
"Mcm5",0.375880363739505,-0.952377669483957,"neither",0.424950361549627
"Wipf1",0.375880363739505,1.26418555016424,"neither",0.424950361549627
"Cdc42bpa",0.375496832616342,-0.316358115954352,"neither",0.42539372199682
"Bmf",0.375317080289573,2.49825079438317,"neither",0.425601670847461
"Gnpat",0.375317080289573,-0.417242707639348,"neither",0.425601670847461
"Mlf2",0.375317080289573,0.31350834091604,"neither",0.425601670847461
"Chmp1b",0.375242232319179,-0.695880168032258,"neither",0.425688289080251
"Zfp870",0.375050354768952,1.03297357194253,"neither",0.425910419391854
"Gabpb1",0.374865666515411,-0.784222410887049,"neither",0.426124334253599
"Akip1",0.374719073254326,-3.28230778454179,"neither",0.426294200692461
"Ccdc60",0.374719073254326,-1.08812158522779,"neither",0.426294200692461
"Ebag9",0.374719073254326,0.740230592835449,"neither",0.426294200692461
"Mtor",0.374645900491749,0.336037736843623,"neither",0.426379015244054
"Cldnd1",0.374463370382573,0.609439375305256,"neither",0.426590658121395
"Lrrc56",0.374457597750199,1.82471034535069,"neither",0.426597353146618
"Chfr",0.374402140760298,-0.590876107218704,"neither",0.426661676713509
"Celsr1",0.374127940752182,-1.55883947259089,"neither",0.426979856460002
"Fanca",0.373970602021828,-1.39303023191682,"neither",0.427162536520136
"Pnn",0.373894630904923,-0.393924314660299,"neither",0.4272507712328
"Prkch",0.373894630904923,2.07059255629156,"neither",0.4272507712328
"Extl3",0.373691060432676,-0.433880271403212,"neither",0.427487291369515
"Cntln",0.373336500227101,1.0186000918696,"neither",0.427899548053084
"Slc1a1",0.373261536601741,-0.325254809885704,"neither",0.427986760414599
"Pgap1",0.372988864257899,0.770054991182741,"neither",0.428304134045304
"Acrbp",0.372931910985419,-1.17367524520494,"neither",0.428370453399405
"Aldh5a1",0.372931910985419,-0.502078403732225,"neither",0.428370453399405
"BC004004",0.372931910985419,0.698363728006831,"neither",0.428370453399405
"Gfap",0.372931910985419,0.793669375564148,"neither",0.428370453399405
"Notch4",0.372931910985419,1.59874363772842,"neither",0.428370453399405
"Rnf6",0.372931910985419,0.560279772240087,"neither",0.428370453399405
"Zfp777",0.372931910985419,0.590802764084953,"neither",0.428370453399405
"Nes",0.372805341306546,1.19964729531147,"neither",0.428517873991497
"Rnf38",0.372630214937354,0.54294530981463,"neither",0.428721932991737
"Zfp748",0.372607048655592,-1.28032348895707,"neither",0.428748933757346
"Zfp955a",0.372545860844555,-1.59032742008557,"neither",0.428820257450547
"Asphd1",0.372536403257934,0.643903181058001,"neither",0.428831282750383
"Mthfsd",0.372536403257934,-0.483282206279399,"neither",0.428831282750383
"Rpusd4",0.372535988835079,-1.2777904079706,"neither",0.428831765875407
"Zfp467",0.37245253037268,0.881617851725871,"neither",0.428929070864425
"Itih3",0.372421004834874,1.18534856102531,"neither",0.428965832452719
"Ppp1r13l",0.372421004834874,1.25255701269826,"neither",0.428965832452719
"Angpt1",0.372052166192381,2.48708892957578,"neither",0.429396162534413
"Atxn7l3b",0.372052166192381,-0.371907469878055,"neither",0.429396162534413
"Nr2c1",0.372052166192381,-0.922064810967503,"neither",0.429396162534413
"Tmx4",0.372052166192381,0.312234969881489,"neither",0.429396162534413
"2310036O22Rik",0.371899285579229,-0.542128715840781,"neither",0.429574655922545
"Rbm17",0.371780990439583,-0.560084790601052,"neither",0.429712819938654
"Rasgrp3",0.371732171086222,1.14850862263709,"neither",0.429769851816238
"Gm21962",0.371351034603289,-0.697215063813519,"neither",0.430215361779692
"Mrpl11",0.371351034603289,-0.680948792920647,"neither",0.430215361779692
"Eml4",0.371125936046837,-0.456152882830485,"neither",0.430478694025165
"Rab36",0.371125936046837,-0.663090685182169,"neither",0.430478694025165
"Exog",0.370698164152108,0.656812471136798,"neither",0.430979564767802
"Ccdc184",0.370360008811228,0.969481524880434,"neither",0.431375914242435
"Eif4h",0.370360008811228,0.264081151081173,"neither",0.431375914242435
"Rrm1",0.370247209696057,-0.945642263689002,"neither",0.431508205779534
"Jmjd8",0.37007267985011,-0.703735943545356,"neither",0.431712974965116
"Hcfc1r1",0.370006133911566,0.583326734681256,"neither",0.431791076198237
"P4ha2",0.369908599778368,1.08989382567311,"neither",0.431905571920951
"Coq5",0.369806511978506,0.797383166445047,"neither",0.43202544555264
"Psmb4",0.369806511978506,0.550655928936548,"neither",0.43202544555264
"Iqcg",0.369713981930843,-2.15862413756336,"neither",0.432134124864846
"Sec22b",0.369710082623051,-0.424904369768714,"neither",0.432138705315871
"Atp1b2",0.369410698125805,-0.449712768126743,"neither",0.432490531554881
"Ostc",0.369410698125805,0.708686232707141,"neither",0.432490531554881
"Pithd1",0.369410698125805,0.403963059940337,"neither",0.432490531554881
"Psd",0.369410698125805,0.3811813805176,"neither",0.432490531554881
"Tlr2",0.369410698125805,1.39724424355029,"neither",0.432490531554881
"Ttc7",0.369410698125805,-1.19863371889727,"neither",0.432490531554881
"Cgnl1",0.369088026231775,1.27987706592065,"neither",0.432870043739095
"Sh3kbp1",0.369088026231775,-0.711754278739171,"neither",0.432870043739095
"Iars",0.36871268384465,-0.419286473060163,"neither",0.433311922255581
"Shc2",0.368173032115169,-0.460776392058483,"neither",0.433948025806202
"D16Ertd472e",0.368143183292422,-1.39753014136543,"neither",0.433983236708111
"Kif18a",0.368143183292422,-2.3273448162054,"neither",0.433983236708111
"Pygo1",0.368143183292422,-0.444946059009631,"neither",0.433983236708111
"Sdhaf1",0.368143183292422,1.18752001714176,"neither",0.433983236708111
"Slc45a1",0.368143183292422,0.545988299081306,"neither",0.433983236708111
"Smg6",0.368143183292422,-0.494760104989618,"neither",0.433983236708111
"Cd300lg",0.368119024006779,-2.23805000099349,"neither",0.434011738088031
"0610007P14Rik",0.368098274937772,-0.581483708865017,"neither",0.43403621783386
"Eapp",0.367839198564619,-0.540758808312548,"neither",0.43434199229963
"Ahnak",0.3676126437012,1.08024408789113,"neither",0.434609559866909
"Daglb",0.3676126437012,-0.624343904872519,"neither",0.434609559866909
"Nsmce2",0.3676126437012,0.923232652385605,"neither",0.434609559866909
"Pde12",0.3676126437012,-0.881306377101052,"neither",0.434609559866909
"Prpf40a",0.3676126437012,-0.524692179295549,"neither",0.434609559866909
"Scube2",0.367169183345921,2.88417981430602,"neither",0.435133776448037
"Tgfbr3",0.367022076382912,0.676682587319629,"neither",0.435307812143211
"Arrdc3",0.366984163748364,-0.693823805134639,"neither",0.435352676197747
"Phf20l1",0.366982963460453,-0.498188442087109,"neither",0.435354096638519
"Ttc28",0.366509371575172,-0.950874179825396,"neither",0.43591491605328
"Eln",0.366391707220834,2.12568069905203,"neither",0.436054364559288
"Psmc3ip",0.366328353728565,-2.65293843906037,"neither",0.436129465743591
"Zbtb24",0.366328353728565,-0.773209089314515,"neither",0.436129465743591
"Gm16867",0.366200507163509,-0.696404766989811,"neither",0.436281058564741
"Hnrnpul2",0.366200507163509,-0.286311203204179,"neither",0.436281058564741
"Maged1",0.366117235689537,-0.242700762016562,"neither",0.4363798253696
"Syt6",0.365578481906134,2.41142941812884,"neither",0.437019374930691
"Tmc6",0.365103656196024,-1.46160268695159,"neither",0.437583817946445
"1700066M21Rik",0.36507682012473,0.639251581468313,"neither",0.437615740897173
"Pcdhgc5",0.36507682012473,-0.541661565092974,"neither",0.437615740897173
"Med1",0.364844642486067,-0.40280589476424,"neither",0.437892026705603
"Proser2",0.364844642486067,2.71074991958662,"neither",0.437892026705603
"Lrat",0.364714958456174,-3.8612739162684,"neither",0.438046424123151
"Usp40",0.364679240198007,-0.781077517201286,"neither",0.438088958715464
"Hgsnat",0.364646362850586,0.455773177593648,"neither",0.438128113930952
"Chchd6",0.364514439195193,0.825212725718653,"neither",0.438285263673599
"Sertad2",0.364514439195193,-0.792889288748311,"neither",0.438285263673599
"Pfdn1",0.36445359352193,0.735912078295099,"neither",0.438357763259373
"B230118H07Rik",0.36415416897417,0.968195010347938,"neither",0.438714713714343
"Gadd45b",0.36415416897417,0.710523658523148,"neither",0.438714713714343
"Galns",0.36415416897417,-0.743280442332261,"neither",0.438714713714343
"Hcn3",0.36415416897417,0.949347469695888,"neither",0.438714713714343
"Mettl15",0.36415416897417,-1.35486763372867,"neither",0.438714713714343
"Otulin",0.36415416897417,-0.814931967791574,"neither",0.438714713714343
"Zkscan6",0.36415416897417,-0.661697066227411,"neither",0.438714713714343
"Isg20l2",0.363779705631998,-1.1424585626494,"neither",0.439161532809315
"Trem2",0.363730055879815,1.74232657545016,"neither",0.439220810676295
