"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146B-DG-2","146C-DG-4","146D-DG-3","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"EGR1",0.852209162511771,-0.036741242033477,-0.136079422858787,1.08423965498578,1.60215901868217,-2.25043208858094,-0.0354839150107722,-0.306604312132542,0.443252591816947,-0.378145421828037,1.26637202525587,-0.900509020889679,0.721130898180698,-1.89303739117113,0.487251841316409,-0.519582378244278
"EGR3",0.334735540344758,0.210453765556389,0.245013743080376,0.803968009661086,1.21244346449843,-0.199481411276387,-0.125056847491746,-0.439978037748245,0.364887970596721,-0.867853032618924,0.895162146383212,-3.0914602623706,0.468142551212093,-0.418622709739999,0.400654729746568,0.206990380166273
"EGR4",0.939790772763306,0.0829277709451599,-0.283040488198097,1.21064479709481,1.91289470213474,-1.90562788026768,-0.0396530519431906,-0.658085151758886,0.9720176625116,-1.83290546230578,2.06277266887868,-1.8493269680214,0.984132851220213,-1.508429083496,0.441352103422075,-0.529465242979562
"EIF5",-0.0588659378444927,-0.114258758880805,0.0292032900583141,0.350803011488251,0.191230355871994,-0.201460120528678,-0.0566443479169774,-0.159702548802478,0.0394026103462419,0.0834209790077463,0.34548778123173,-0.498538656121553,0.311120005735242,-0.286244106125608,0.130249169284728,-0.105202726803656
"EPRS",-0.0330819795624704,-0.317742037536348,-0.231150730582921,0.827346285279445,0.327041788457819,-0.210027642376374,0.179967899739962,-0.204479064561445,-0.0729678358535892,-1.33920378160042,0.834598555457889,0.305645569804678,0.430344220491303,-0.176266442505165,0.0401585465942569,-0.360183351246621
"ERF",0.370539107970109,0.0178085943253263,-0.334108691802948,0.608222609801605,0.71739711183604,-0.48090760327206,-0.390921631890012,-0.273728778193467,0.204457377620746,0.0270369761451326,0.906526363000471,-1.60448178751085,0.482280283688335,-0.330447708001008,0.0381882133082341,0.0421395629743513
"ERRFI1",0.516840975992356,-0.186531888401618,-0.0562172775485692,1.28397943364717,1.18116652682207,-0.947847299711001,0.215874446687607,-0.355834760376009,0.956184590199136,-0.853555785863803,0.963521441436878,-2.87558662092132,0.96477264496685,-0.706053113198085,0.0742589871056634,-0.174972300837317
"FAM107B",0.581216584366924,0.0805012576113286,-0.302228932839639,0.901851510901411,0.582730986682662,-0.347625244869645,-0.186004789253003,-0.42260186242259,0.256708299940066,-0.825146980615036,1.60648534238588,-1.8962025572288,0.694169292371661,-0.617579048642935,0.0164594632691202,-0.122733321657399
"FAM118A",0.220155099322004,-0.450953896334465,0.185457113252652,0.423196149593062,0.322402430083121,-0.279341182857643,-0.197056236139013,0.143244664876727,-0.0405178411545943,0.545858190224375,1.26490021607892,-1.85248153617056,0.399259204588302,-0.389723853703252,0.291609534137322,-0.586008055796952
"FBXO33",0.512565789438092,-0.373666412179759,-0.036751852820716,2.00754484599867,1.50453003608773,-1.40429423916182,-0.208030734442897,-0.980388496019059,0.431285861310457,-0.718778063008205,2.15014529814871,-2.37754676986679,1.27486465109084,-1.18864315891736,-0.0752241299970802,-0.517612625660791
"FBXW7",0.319453043871613,0.111874268745996,-0.131314984571965,0.889913831260007,0.682212567789257,-0.122596981757523,0.221527551650746,-0.147812353315888,0.180567716485214,0.362759327816459,0.79678687363668,-3.25825570522147,0.521146874030789,-0.128271149032022,-0.0336891190460786,-0.264301762341808
"FERMT2",0.264076149572372,-0.00776879766223093,0.0211935374048045,0.542308751904401,0.179943909775906,-0.126246713405887,0.117271233535434,-0.181797591407853,0.267664787004397,-0.408703149913417,0.393051226624445,-2.19116863017995,0.652684794687018,0.111992470933629,0.250244437183527,0.115253583943412
"FLRT3",0.210246040772207,-0.146441470673065,-0.117187168366765,1.19675523069237,0.790006397195322,-0.336536319607781,0.0815880160585056,-0.250582452235006,0.259667807776017,-1.24206535869398,0.375469053384728,-0.142826494276939,0.0325264172320576,-0.109969458354378,-0.342408537384236,-0.258241703519048
"FOS",0.998364386636387,0.598665874055426,0.153393726796168,1.25032146029374,1.48125968949359,-2.20854051141572,0.00890570421798209,0.19535616110082,1.16079048667028,-1.18899117985431,1.47476799321477,-3.71754433904489,0.689608048030165,-1.38688236673116,0.733501306247058,-0.242976439710295
"FOSB",0.783906030358262,0.342421549254194,0.12987962231192,1.62144841259946,1.86925405707582,-2.6656259707211,-0.259329230485053,-0.365058421302367,1.02074508308269,-1.65250353586025,2.16157400031427,-2.26050987497799,1.15270219020204,-1.40364645412747,0.287827988333861,-0.763085446058268
"FOSL2",0.552494424195608,-0.231178479336249,-0.39404897265594,1.91578213799832,1.5681575129325,-1.09995962523272,-0.0566677867103582,-0.305255500559415,0.480797238832794,-2.28651220695988,1.45538263294779,-0.838998678816827,1.21126644913199,-1.34714357399708,0.0390294768429111,-0.663145048613464
"FOXG1",0.211064247624705,0.0823032412572857,-0.154763225902883,0.568491911201784,0.59419444564932,-0.370149807460004,0.0770887070917396,-0.123480909325254,0.0867901898540424,-0.247643665130614,0.202064104448439,-0.922441023029208,-0.0615067185744564,-0.137025747355951,0.219799932108367,-0.0247856824573187
"FOXO1",-0.0246807940897185,-0.510046322976885,-0.50513888402986,0.684638459775822,0.436445793248959,-0.0991378468923365,0.0357631871926856,-0.0975625295811913,-0.0678006290203355,0.228337422489991,0.437482505995311,-0.0195284748694906,0.307064456706046,-0.0232287165210732,-0.0685628641940532,-0.714044763233861
"FRMD6",0.475078853818295,-0.393591543000969,-0.311051893496831,1.74986710281441,1.27664554481906,-1.3381248969485,0.147650243230857,-0.822935694110623,-0.242573481951182,-0.965678290149844,1.92532158964786,-1.14795752006875,1.45775509685678,-1.19643102607581,0.029797694206172,-0.643771779590921
"FZD4",0.462220514583101,-0.3020997578885,-0.383135371200765,1.17582637709916,0.709382971558578,-0.268361788724714,0.181289167929306,0.31081365550673,0.223501361574852,-1.22468078955404,0.223854420693399,-1.22468078955404,0.731196762598091,-0.371684217531797,0.450439211012078,-0.693881728101444
"FZD5",0.729125271725214,-0.119073604612241,-0.537216703400725,0.9704994846232,1.20648952003783,-0.435251808140682,0.44499381389905,-0.380236279258033,0.382070702105612,-1.09254661393588,0.700091476237082,-1.09254661393588,0.916041242242708,-0.66666671631058,0.0667734426592199,-1.09254661393588
"GAD1",0.459224161001323,0.19432137031716,-0.172685218510125,0.594361868765624,0.277318574862617,-0.205638891477946,-0.00634026285753464,-0.536750285253305,-0.265146518714898,0.0385068528388182,0.530505216721954,-0.337560060576779,0.283107048483215,-0.471554552072144,0.0166560932962057,-0.398325396824195
"GADD45G",0.551939830087938,-0.186249506076086,0.160677143237643,1.15154741621762,1.19860234057359,-0.553194456325725,0.0464515249711095,-0.0631234612566081,1.12897512040977,-1.76372508751011,0.924437080444492,-2.83478066412388,0.901151437113982,-0.0107319864614945,-0.102638824601677,-0.549337906700577
"GM13889",0.819691718321859,-0.106208682985313,-0.495489575201965,1.02260278235348,1.51930055997733,-1.10985360063763,-0.152731871929168,-0.530728844036365,0.972299741565484,0.100353166712038,1.68719351800168,-3.71158547682685,0.762352870361054,-0.544714404955391,-0.176117765300843,-0.0563641354194022
"GMEB2",0.16558189086857,0.266085137960884,0.0440685189057541,0.617769933122481,0.560648668217478,-0.196555779698685,0.441648552376407,0.102568427807574,0.375003294564347,-1.70082952383948,1.34069626228532,-1.70082952383948,0.73254990605559,0.194185988304444,-0.0725612907042992,-1.17003046238689
"GNAZ",-1.36147623281304,-1.07080660984648,0.0670670394354502,-0.446311353757602,-1.70645603213587,-2.22173972997957,-0.761960163207144,0.184924781956733,-0.812269445837522,4.84325032435379,0.452307941081312,4.68981208435591,-1.88729729570816,-1.01805602688504,-0.557268082499967,1.60627880148718
"GPI1",-0.119576833366033,0.108284877646259,0.156603835767617,-0.306842893289968,-0.11279380313499,-0.0140325231312683,-0.111983582126479,0.0203931790607488,-0.18928560214232,0.618877332531474,-0.210459695850842,0.415743047433843,-0.248621858169976,-0.227888117835274,-0.189604540932542,0.411187177539764
"GPR19",0.44277496600258,0.0391911389359993,0.107066039288847,0.77996458313711,0.719366039978794,-0.399095419883139,0.248000088336696,-0.439631149577072,0.603018465978957,-1.56477436823242,0.876632088578829,-1.56477436823242,0.694728509363351,0.0441499643385894,-0.0664678315387581,-0.520148746475942
"GYG",-0.272559352756611,0.391231638184959,-0.267337250795426,-0.451935209157776,-0.353337826240376,-0.232380951470263,-0.267036819869439,0.335873858367373,-0.331804805459689,-0.243117479173628,-0.00847320632021109,2.51206324934486,-0.253755185209141,-0.138063385924864,-0.267142101837789,-0.152225171681974
"HECA",0.303711742205131,0.0762860459416972,-0.189420367177275,0.5703096946965,0.522918457497703,-0.0390332549522538,0.309596740989465,0.00346971422191089,0.031077435843148,-1.69990379348298,0.615254583193273,-1.69990379348298,0.471590251222493,-0.153089872544838,0.497177212815007,0.379959203013986
"HMGCR",0.163909518378722,0.331635515215285,-0.190199218915185,1.08324634424426,0.59256958351576,-0.626781337031031,0.21772865675857,-0.396965324329127,0.444381913633292,-0.590211731952873,1.35121483791877,-2.98855145834781,0.639036672301846,-0.291497506918246,0.346148470189754,-0.0856649346619838
"HOMER1",0.0860300208449338,-0.387717276301546,-0.496469585827386,1.69867876416368,1.10296746184527,-1.3822878589381,-0.521330674236685,-0.915013859447855,0.217333439332275,-0.520502843188046,1.93103200541486,-0.373386379518051,1.57673946399178,-1.80782665550298,0.46110795390287,-0.669353976535008
"HS6ST1",0.356778080279974,-0.1538962628123,-0.136818514216522,0.457272494071168,0.252628058792911,-0.161290584298779,0.348768686694301,-0.0954071182613472,-0.0420088496921762,-0.708011081736145,0.251768891167266,-0.348123696114347,0.143693554715192,-0.0623036179903895,0.320569662071494,-0.4236197026703
"HSPA1A",0.789983766307362,-1.15359382976929,-0.875171664054976,1.03859670646865,1.15345616811545,-1.10404060555715,0.965902796793983,-0.118275388321003,0.000300689039313795,-1.05770781753306,-1.07627864182122,0.565061364639364,1.57091662139611,-1.96456582949524,0.989468033821158,0.275947629970533
"HSPH1",0.0495485294861187,-0.297459118907909,-0.388132502910153,0.599201963143106,0.513846774261811,-0.275631622099231,-0.254918490743268,-0.389744289870311,-0.243756522619107,0.0263436146259242,0.29471546534438,0.39325382670294,0.716791608962039,-0.516477985641883,0.139846718741619,-0.36742796847609
"IGF2BP2",-1.80829475526621,-1.05355452302133,0.355215661915437,-0.137454376954981,-3.29369413390182,-4.25892337905688,-0.300288567115897,0.592134630849152,-0.857067137286696,5.24106653692925,1.48277563008718,5.80371221700685,-3.62968993699291,-1.00562333307635,0.0952791051691531,2.77440636071605
"IL16",0.262212876508374,-0.0842295916633287,-0.172086888519083,0.240829466833285,0.209397023726172,0.0176455250733225,0.326101328621947,-0.581710047994496,0.156085983124152,-0.193095530207942,0.754997844668019,-0.816516509611986,0.173669089640847,-0.0318147264343471,0.15181404775664,-0.413299891521576
"ING2",0.28379122864171,-0.0574593824598599,0.00491778101556672,0.697250542802713,0.661155255953017,-0.0142764273066964,0.168399496707272,-0.542918352053212,0.138579797981675,-0.434510068676368,1.13183296431796,-1.50556564529013,0.43554709415919,0.0189387820046676,-0.389550225964982,-0.596132841832519
"IRF2BP2",0.380341812717345,0.0514050043648737,0.228870318668396,0.781540346068732,0.622174212758847,-0.22235932707898,-0.204974243825094,-0.33062231608861,0.330252180489969,-0.395549969390745,0.560784413841088,-1.634905297615,0.0798457757231699,-0.203926399070565,0.0818745197370925,-0.124751031300522
