"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Elac2",7.32376965486912,7.4190323886764,7.3471579253175,6.89946766088885,7.63975885423111,7.00691950884594,7.58336194103254,7.34297789364472,7.14385893776458,7.3505186727326,7.71351514900761,7.47609341827857
"Elavl1",7.98921310744196,7.51554170438576,7.77488122701933,7.90707234171685,7.76775644178739,7.92143643866823,7.80387752369136,8.09650174185229,8.03572085315449,7.83092039156882,7.67737169552167,7.75411080885003
"Elavl2",8.72998811434317,8.15677829865023,8.88082941448474,8.23033786687073,8.69091470951565,8.30258698906145,8.67433021928122,8.88088037262758,8.35205774669684,8.51161448187672,8.49579905961482,8.63988005360642
"Elavl3",9.5436860235486,9.62892617360341,9.41375064315442,9.60748248594679,9.63614093825032,9.69610396039288,10.0266880092404,9.629397941626,9.8476238823733,9.49473470057897,9.6994396190815,9.62573706277368
"Elavl4",7.50240770992788,7.64731848658614,8.11765800388373,7.7619252547479,7.52205652409862,7.06242298335718,7.44746676048827,7.69225834861678,7.54634249781744,7.66484364362034,6.97251218005485,7.32160490318491
"Elf1",6.31735601409434,6.83815198390189,6.24393779302673,6.97835558549462,6.48512598017227,6.56212836175147,6.35939184734644,6.6709423687361,6.88965137955747,6.60998078616562,6.48858062290051,6.61362866854975
"Elf2",7.0106879441526,7.06893395789686,6.60019828616156,6.81347933830745,7.05153354354193,6.89857110522306,7.11664334342008,6.8917311254646,7.29016465044398,6.77596727406735,6.79891489318786,6.83207662239442
"Elf4",6.24786116878775,5.74601471773009,5.74601471773009,6.2028281207757,6.17583145262494,6.14826413099723,6.32834670430084,6.68480099902571,6.50160478410953,6.42451493061465,6.05194985962486,6.30390083398407
"Elf5",6.02185492652074,6.2007163041327,5.74601471773009,5.74601471773009,6.17583145262494,5.74601471773009,6.08373963483239,6.11689602129963,5.74601471773009,5.88291745419195,5.74601471773009,5.74601471773009
"Elfn1",6.31735601409434,6.5272639655662,6.55261476465212,7.99556012132545,7.69825363742401,7.11511767564719,7.00228892198559,7.23875314214451,7.49661789695484,7.31151836075945,6.37897466665394,6.83207662239442
"Elfn2",8.59450894794245,7.60493663032915,8.18558434089944,7.74905626601137,8.45363867595402,7.71690501704679,8.22205456381559,8.34566581890555,8.23693187257023,8.74158181872122,7.98064135584919,8.06879888260361
"Elk1",7.91709992038058,7.36767200551609,8.05829617396354,7.62693650336065,7.74730170016233,7.35441744287171,7.67625019015642,7.75977682418224,7.62498043965511,7.90654415255887,7.66508956275512,7.62286582463476
"Elk3",5.90543270746838,5.74601471773009,6.15323483203576,6.2028281207757,6.53174497705871,6.68436902756504,5.74601471773009,6.48182062244405,6.60713428359206,6.56791420677846,6.40247134964888,6.25968120485496
"Elk4",7.09583759036189,6.99779671497195,6.838638267486,7.07472629157393,6.93250029258075,6.83266571371286,6.87330323804131,7.34297789364472,7.17112700602014,7.05629179730288,6.90194875372642,7.06574056266783
"Ell",7.13595702096407,6.64459133834263,7.23486248372465,7.00331466764707,7.11215006637307,7.51693082924586,7.19778372406438,6.94470096311447,7.18006666927913,7.44267284560231,7.15884247335775,7.0816552282438
"Ell2",7.05413586442376,7.4190323886764,7.10998468997024,7.1415767771459,7.08832082591189,7.25028232615179,7.42018681143876,7.10633393357962,7.39054116948976,6.43770256775214,6.60041150343722,6.99951709316602
"Ell3",6.4693318579833,6.64459133834263,6.64499732739937,6.27277285307284,6.17583145262494,6.41527199135856,6.44382925268539,6.34145570982005,6.11216765051845,5.74601471773009,6.5084736026419,6.4009373081368
"Elmo1",7.13595702096407,7.46825723835564,7.2582278380135,8.0062142349718,7.94446825331335,7.89489105512538,7.76274030152471,7.08857831716942,7.99293776929695,7.33604747168625,7.14930949096524,7.35910437484463
"Elmo2",9.11919014021587,8.66767309141603,8.40901312002869,8.77806067599582,8.85777361573175,8.82839692935601,9.03160759387558,9.0689922706008,8.7364623490293,8.93033408661923,9.05172097395004,8.97413748371839
"Elmo3",6.45224384152599,6.2007163041327,5.74601471773009,6.2028281207757,6.25383794328405,6.05799775503962,6.35939184734644,6.92385918954307,6.31630200708343,6.08073118812346,6.86463279990671,6.51534498112484
"Elmod1",9.07911829254231,9.06983463081437,8.74794313486058,8.71005950040342,8.69431868000696,9.18264399377183,9.00109933233554,9.04163445091251,8.72446569583646,8.63313806721239,9.16668681459218,9.23206469900096
"Elmod2",6.33863055119901,5.74601471773009,6.90572335376311,6.84303400695736,6.69355006156777,6.14826413099723,6.7764033481286,6.58232608517294,6.87175614222045,6.64987571833555,6.5084736026419,6.48461218845212
"Elmod3",7.01952605903694,6.74678563092428,7.46897683491684,6.6486675883491,6.87460592790578,6.77631924135545,6.94704589646679,6.72504232080247,7.01688971392936,6.89364026224779,7.23225841221366,7.30882924660233
"Elmsan1",7.13595702096407,7.4190323886764,7.3471579253175,7.05146679788533,7.13545786211346,7.24115763293425,7.39226381756754,6.6709423687361,7.04253557423898,6.97149240129187,6.88967230220893,6.99092867179093
