"","padjPunchCA1DG","padjPunchCA1CA3","padjPunchCA3DG","padjAPAConsistentControl","padjAPAConflictControl","padjAPAConflictConsistent"
"1700011H14Rik",0.995988468926685,0.998480285282291,0.94855079465412,1,1,1
"1700011M02Rik",0.995988468926685,0.886260871845512,0.906867840130818,1,1,1
"1700013D24Rik",0.986012208052079,1,0.824200579621466,1,1,1
"1700013F07Rik",0.6791527067474,0.853240227646539,0.226655938715297,1,1,1
"1700014D04Rik",1,0.998480285282291,0.9787406297028,1,1,1
"1700015E13Rik",0.714583182870417,0.731425809540701,0.984492478717084,1,1,1
"1700016D06Rik",0.444148313087492,0.899700263822063,0.10870077002908,1,1,1
"1700016K19Rik",0.995988468926685,0.986051649979111,0.864204765144053,1,1,1
"1700017B05Rik",0.744841256655633,0.00818375916082923,0.000125924997022842,1,1,1
"1700017N19Rik",0.995988468926685,0.986051649979111,1,1,1,1
"1700019A02Rik",0.995988468926685,1,0.920230992485012,1,1,1
"1700019B03Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"1700019D03Rik",0.447948600078654,0.798267760080283,0.844914166780205,1,1,1
"1700019O17Rik",0.995988468926685,1,0.920230992485012,1,1,1
"1700020A23Rik",0.995988468926685,0.998480285282291,0.920230992485012,1,1,1
"1700020D05Rik",0.121754540491785,0.337123632559387,0.906867840130818,1,1,1
"1700020L24Rik",0.995988468926685,0.986051649979111,0.966837887742247,1,1,1
"1700020N01Rik",0.995988468926685,1,0.889336441820846,1,1,1
"1700021F05Rik",0.522132834287268,0.460002408125008,0.950051175066777,1,1,1
"1700022I11Rik",1,0.986051649979111,0.920230992485012,1,1,1
"1700023F06Rik",0.633114663743176,0.910243324479449,0.920230992485012,1,1,1
"1700024P16Rik",0.9775571136846,0.649574931782308,0.262080807182618,1,1,1
"1700025G04Rik",1.39931121531456e-05,0.00497907497796782,0.377598971775254,1,1,1
"1700027J19Rik",0.995988468926685,0.998480285282291,0.936081490127139,1,1,1
"1700028J19Rik",0.769271767598088,0.425801094026511,0.0414249512512622,1,1,1
"1700028K03Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"1700028P14Rik",0.995988468926685,0.457022519324446,0.418558720317004,1,1,1
"1700029F12Rik",0.995988468926685,0.990840255341441,0.988140279803983,1,1,1
"1700029H14Rik",0.995988468926685,1,0.920230992485012,1,1,1
"1700029I15Rik",0.794147049215751,0.998480285282291,0.804656483965791,1,1,1
"1700029J07Rik",0.969685335603305,0.998966925850393,0.832027963311451,1,1,1
"1700029P11Rik",0.995988468926685,0.986051649979111,0.920230992485012,1,1,1
"1700030J22Rik",0.933573843954833,0.986051649979111,0.608946535134609,1,1,1
"1700030K09Rik",0.414193267615707,0.70304325197233,0.0407486020147782,1,1,1
"1700034I23Rik",0.715750516487132,0.149717097506819,0.404459761537638,1,1,1
"1700034J05Rik",1,0.986051649979111,0.94855079465412,1,1,1
"1700037C18Rik",0.995988468926685,0.813461863684081,0.806966030815842,1,1,1
"1700037H04Rik",0.0213597732683296,0.986051649979111,0.0343352515067147,1,1,1
"1700040L02Rik",0.831099137175506,0.447228247607941,0.712274005345258,1,1,1
"1700047I17Rik2",0.995988468926685,0.414914445578089,0.375095409499257,1,1,1
"1700048O20Rik",0.605727862761782,0.815319373267574,0.923423880046397,1,1,1
"1700057G04Rik",0.995988468926685,1,0.984492478717084,1,1,1
"1700061G19Rik",1,0.135433294244855,0.0721433959942552,1,1,1
"1700064H15Rik",0.995988468926685,1,0.920230992485012,1,1,1
"1700066B19Rik",0.238721447513829,0.986051649979111,0.33991540541387,1,1,1
"1700066M21Rik",0.0112932093938411,0.412413628685379,0.288379971113679,1,1,1
"1700067K01Rik",0.995988468926685,0.986051649979111,0.914091833845501,1,1,1
"1700088E04Rik",0.995988468926685,1,1,1,1,1
"1700092M07Rik",0.995988468926685,1,0.839769172104896,1,1,1
"1700093K21Rik",0.862466386542995,1,0.758990367297572,1,1,1
"1700102P08Rik",0.707407317465829,0.643972778020577,0.942258745766163,1,1,1
"1700109H08Rik",0.987986289995511,0.902285185614132,0.536683217523615,1,1,1
"1700112E06Rik",0.995988468926685,0.998480285282291,0.937271981448394,1,1,1
"1700113H08Rik",0.995988468926685,1,0.912469328833429,1,1,1
"1700123K08Rik",0.995988468926685,1,0.920230992485012,1,1,1
"1700123L14Rik",0.995988468926685,1,0.982966247132461,1,1,1
