"","row","column","cor","p","padj"
"173","PRKCI","PTPRS",0.430635545779559,0.109063674002574,0.331165984698288
"174","GABRA1","AQP4",-0.429616895627758,0.10999678898269,0.331165984698288
"175","NSF","GFAP",-0.429253079326029,0.110331394258353,0.331165984698288
"176","GRIA2","CFL1",-0.429190889323114,0.110388661566096,0.331165984698288
"177","LIMK1","ALDH1L2",0.427470192950823,0.111981341485562,0.334046035617947
"178","PRKCB","AQP4",-0.425263641488137,0.114046927602776,0.337624791474645
"179","IGF2","TNC",0.424825787160952,0.114459919837048,0.337624791474645
"180","WWC1","TNXB",0.423832987994315,0.115400172251932,0.337817146211973
"181","PRKCB","GFAP",-0.423407527875434,0.115804741409786,0.337817146211973
"182","FGFR3","ALDOC",0.421538262569069,0.117593821968977,0.339555949381823
"183","PTPRS","LIMK1",0.42144144180891,0.117687005183473,0.339555949381823
"184","SLC1A2","GJB6",0.419015649822172,0.120038293266823,0.343772905675256
"185","PC2","PTPRS",-0.41859351885767,0.120450733996065,0.343772905675256
"186","GRIA2","PNN",0.415830646864459,0.1231742512644,0.349655939073134
"187","LAMB1","GFAP",0.412980134005293,0.126028114441118,0.355353890849458
"188","WWC1","LIMK1",0.412485868320828,0.126527521741852,0.355353890849458
"189","SLC1A2","AQP4",0.411348153348877,0.127682209779761,0.356699506686316
"190","PC2","IGF2",-0.4093663928552,0.129710684155983,0.360459164391364
"191","GABRA1","EGFR",0.407742309230885,0.131389346978536,0.362146611064025
"192","NSF","TNXB",-0.40671305391982,0.132460814419131,0.362146611064025
"193","TNR","ALDOC",-0.406209838930131,0.132986824331966,0.362146611064025
"194","PC2","CFL1",0.405839094916384,0.133375269890471,0.362146611064025
"195","PRKCZ","PTPRS",-0.405484679083401,0.133747327949782,0.362146611064025
"196","TNC","GJB6",0.401384195945711,0.13810327732495,0.370396300759327
"197","ROCK2","GJB6",-0.401296842168118,0.13819710463937,0.370396300759327
"198","LAMA1","TNC",0.400609818615792,0.138936545762449,0.37049745536653
"199","IGF2","ALDH1L1",0.398172690095247,0.141581188229736,0.375652599926134
"200","PRKCI","EGFR",0.396470934179769,0.143447853107193,0.378702332202988
"201","GRIA2","ALDOC",-0.393863541781101,0.146339959300044,0.379964919399472
"202","WWC1","PNN",0.393765885005356,0.14644903496734,0.379964919399472
"203","GRIA2","PIN1",0.392544280758965,0.147818097747774,0.379964919399472
"204","PRKCZ","ALDOC",0.392174972907062,0.148233669387323,0.379964919399472
"205","EGFR","ALDH1A1",0.391534917250429,0.148955760934526,0.379964919399472
"206","GABRA1","ROCK2",0.391514508806519,0.148978823853073,0.379964919399472
"207","IGF2","EGFR",0.391247073961535,0.149281264545692,0.379964919399472
"208","PRKCI","ALDH1L2",0.390892265835319,0.149683150066459,0.379964919399472
"209","NSF","ALDH1L2",-0.388134237061294,0.15283185612332,0.386101531258912
"210","PTPRS","GJB6",0.383028905216034,0.15877649374135,0.399209469978253
"211","PC2","SLC1A2",-0.38227667091033,0.159665194894485,0.399541340778617
"212","PRKCZ","CAMK2A",0.381180675786825,0.160965924990191,0.400896266013305
"213","PRKCI","PIN1",0.379976084087506,0.162403627382846,0.402578005906772
"214","PIN1","LAMA1",0.379040824147266,0.163525728073223,0.403465347769447
"215","PRKCB","EGFR",0.378134950857617,0.164617453938786,0.4042698403706
"216","PRKCI","LIMK1",0.376434272529468,0.166680047800398,0.407232786153667
"217","PRKCI","LAMB1",0.375871350280883,0.167366504915427,0.407232786153667
"218","NSF","TNC",-0.373729114238611,0.169995907882633,0.411733208082706
"219","PRKCB","LIMK1",-0.370483805063342,0.174030794135457,0.416438183197818
"220","EGFR","ALDH1L2",0.370269541820893,0.174299378047853,0.416438183197818
"221","TNC","ROCK2",-0.370265363519643,0.174304618346056,0.416438183197818
"222","SLC1A2","GFAP",0.368837641391791,0.176101278327547,0.41883547277903
"223","PRKCZ","ROCK2",-0.366836249390701,0.178640201503449,0.422968728223412
"224","NSF","LAMB1",-0.363637695797552,0.182747259054165,0.43076139634196
"225","PC1","LIMK1",0.357322993961327,0.191034844433672,0.44829510160435
"226","NSF","GABRA1",0.355533291547743,0.193427142283102,0.451900580201228
"227","PC2","TNC",-0.353818160554958,0.195737818100044,0.455284440338428
"228","TNR","SLC1A2",0.351149236486108,0.199368681142412,0.460778719654718
"229","ALDH1A1","ALDH1L2",0.350801203848672,0.199845315910853,0.460778719654718
"230","GABRA1","LIMK1",-0.348644039320776,0.202815881115317,0.465594718386467
"231","TNXB","ALDH1L2",0.347194025203502,0.204828445393774,0.468179303757198
"232","PC2","LAMA1",-0.341519412400262,0.212826928288025,0.484364733345161
"233","WWC1","LAMB1",0.337520404406915,0.218580929721961,0.493538648685732
"234","PC1","AQP4",0.337152584129725,0.219115050405465,0.493538648685732
"235","PC1","GRIA2",-0.336776454580744,0.219662087956718,0.493538648685732
"236","PC1","CAMK2A",-0.335199308302394,0.221965236981167,0.493927074515771
"237","IGF2","PTPRS",-0.334805335460074,0.222542928797215,0.493927074515771
"238","CAMK2A","CFL1",-0.334738264467121,0.222641370709761,0.493927074515771
"239","ALDH1L2","FGFR3",0.333578242113933,0.2243482999644,0.495238415087348
"240","ALDH1A1","GFAP",0.333063485042137,0.225108370494249,0.495238415087348
"241","PRKCB","GABRA1",0.33042453789416,0.229030291423215,0.500520764804992
"242","NSF","EGFR",-0.330173658132911,0.229405350535621,0.500520764804992
"243","ALDH1L1","GFAP",-0.32586328220399,0.235909216522714,0.512592865530836
"244","PNN","GFAP",-0.32098073794375,0.243413405519938,0.526730648010359
