"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","variable"
"T1_Dist1stEntr.m.",0.0852236079914744,0.00550337088628031,0.0197714681159815,0.0444245483844269,0.0551025450671419,0.0294500113432289,0.0324559325090584,0.0373627016268264,-0.059177715889066,0.0211474809823028,0.0187148217598703,0.0186625559558362,-0.0232397876521084,-0.0211719663418336,0.0346170895094974,-0.0513088624271265,-0.0366560122327274,-0.0367186574913577,0.0141360013275446,0.0021898766071029,-0.0350660107864635,0.0166885880448734,0.00802709635023475,-0.00522219970126349,-0.00312699546313884,0.00771647286717442,-0.00437910252457577,-0.0292520923022438,-0.0606932212794657,0.0549544734231874,0.0153511905788013,0.0157397131944868,-0.0619077617202734,-0.0298091682557638,"T1_Dist1stEntr.m."
"T1_Linearity.Arena.",0.0119000495105285,-0.0949728405111349,0.019798503666928,-0.0663202039641486,0.0655637556032202,-0.0381875890019134,-0.0359565834722467,0.120285391099792,0.0398455967923406,0.0143130334879829,-0.0900216313353208,0.0928500604894773,0.0707926413916225,-0.057801627966896,-0.0527495891184192,-0.0936773862150328,-0.0427716334395514,-0.00157832315938893,0.118675086133543,-0.0670621248855207,0.0862261439743807,-0.049375615477145,-0.119225029610767,-0.0189414515254982,-0.0361478021991129,-0.0799216036779694,0.104828493370117,0.0645994725992523,-0.0156823665232882,0.0676347026356188,0.00213158006765258,0.00705238691137027,0.0458652245227579,0.0873349572169432,"T1_Linearity.Arena."
"T1_Max50.RngHiBin",-0.0274749342739107,-0.015818421867642,0.0269599311207109,-0.134069967003,0.0123295548329177,-0.0339028623758688,-0.111862396211907,-0.0103491118740991,-0.0450116725472192,-0.102643626479236,-0.0803818691514954,0.0836648933785346,0.0729104333698527,-0.0421271050620574,0.0186746125299675,0.0150895922406325,-0.0143686416423694,-0.140390840504074,0.0324509466142924,0.0968616616741234,-0.013450382720148,0.0770327310680165,0.0773339881486297,0.0137785928892655,0.0789928473500334,-0.0362145915363699,0.0827730441960455,0.0236560578958691,-0.0466116967800311,0.0621942728181013,-0.0118181483600286,0.0168250969086863,0.0169980161828665,-0.0265788188999685,"T1_Max50.RngHiBin"
"T1_Max50.RngLoBin",0.0614532517609203,0.00135424834419808,-0.00337280159197852,0.0439439997555772,0.0981318855967571,0.0832155223223883,-0.00433167049482034,0.0178690009893027,0.0104428052751075,0.0246750767761574,-0.048623655883442,-0.0283905246394121,-0.0421632806996005,-0.0525595627042611,-0.0361674918890378,-0.0740478011575382,-0.0124073264778206,0.133625756975135,0.00290522260305711,-0.0899744105954321,0.102454103336351,-0.0654662722270374,0.049704300109413,0.0346135222439361,-0.0655481338966806,0.0601570498050746,-0.0483122265719273,-0.0855320085974179,0.101625670190148,0.00716479544950224,0.00378023492808695,0.00918214957836212,0.0608972699398106,-0.00367507092483691,"T1_Max50.RngLoBin"
"T1_MaxTimeAvoid",-0.0669008590341314,0.0153992342896962,0.0304420080106027,-0.0467537326956204,-0.0436076880854386,-0.00339922370533066,-0.00506390953405622,-0.034221315166907,0.0976454896763696,0.0275620356028307,-0.0428197846018536,-0.0213183306794006,0.0171414744840463,0.0804451481556853,-0.076576263960792,0.0541780193087338,0.0109901483242523,-0.00799183492959297,0.0545569228589354,0.0209070593027464,0.134183829256627,-0.0112739594648262,0.0170542491614947,-0.0823366109908837,0.0333271408344916,-0.083519181822162,0.075948595377713,-0.0784857104010336,0.0127055438048312,-0.117396193205072,-0.0362490522362613,-0.0260840152575983,0.144787453586282,0.030167962306492,"T1_MaxTimeAvoid"
"T1_Min50.RngHiBin",0.0614487379393776,0.0199251008718846,-0.0125918690049834,0.022846375905895,0.0519429303120406,0.048557864616029,0.0961573184734745,0.131569377166019,0.0347561642029555,0.0261183882023756,-0.0146689225464327,0.0263976389929048,0.0412150848086806,0.0274280704823405,0.011527618190761,-0.0942750138922646,0.0761389077036972,-0.0160601350951044,-0.0510959055223123,-0.0250321496071142,-0.00667909423195382,-0.049582807380759,0.128296608750392,-0.0239200254663525,0.0548626186237391,0.0722457154677868,-0.0528411231378607,-0.0450021097066919,0.0460125789897213,-0.0237125901668927,0.0225635037448918,-0.00115393712394707,0.0840623685133905,0.0382185894489124,"T1_Min50.RngHiBin"
"T1_Min50.RngLoBin",-0.0217203915659065,-0.0340978522745233,0.0375582774138113,-0.107866187465115,-0.0768120360990636,0.00747026343246918,-0.0810988067010152,0.0341226220695623,-0.0116079078248196,-0.168568765186368,0.0719401797487157,-0.0977932609751144,-0.102329764911522,-0.0320490481373111,-0.0810878286617813,0.0800216710706297,-0.0434380636105815,-0.0261885861112465,-0.0112461012153077,-0.00206857827265041,0.0256832952493097,0.0908463793726686,0.0814840855830849,0.0153378856061153,-0.0452857844923177,0.00534081653260531,0.019934770330616,-0.00511309224573541,-0.0226861466224014,0.0194091074681608,0.00931162566786888,-0.0362744466363032,0.0673797852380136,-0.00905523889263515,"T1_Min50.RngLoBin"
"T1_NumEntrances",0.0803165479429627,-0.0261850909480753,0.012544092330643,0.0180055280855217,0.0932410878267061,0.0223591224288923,0.0214318887822337,0.0628810099693436,-0.0619280690828146,0.00144854603327899,0.00696642956958155,0.024174905159739,0.00945256718606749,-0.0403076098300835,0.000839655221668467,-0.0604326146587627,-0.0523016818081859,-0.0211997800381081,0.0244144073244471,-0.0134486737194925,-0.0475504470011883,-0.0110004445117071,-0.0064507291751592,0.0244671536674221,-0.0361699194463622,0.0193514046788936,0.0238125957005961,-0.043312842278333,-0.0491696225892441,0.055394336001039,0.0280413230780406,0.0252650140571692,-0.0670723564969442,0.00665618670087991,"T1_NumEntrances"
"T1_NumShock",0.0800844196178401,-0.0199882553276591,0.00612362087680614,0.0401900753615208,0.0728901568341458,0.0600959359361996,0.0603168103416035,0.042235996596384,-0.0355654868771498,0.0419317660349123,-0.00354671021545925,0.0219434656321671,-0.0190151004048346,-0.0177160386657335,0.0404428667717664,-0.0722485941905942,-0.0184978108709519,-0.0147991861105787,0.00270047665608175,-0.0707116802633018,0.0215269299564167,0.028716522867295,0.00356794353615306,-0.00565971789627475,-0.024238207534247,-0.0240402693466519,0.0102518580838987,-0.0505137726624681,-0.0123875332116224,0.0458560764648501,0.00545945791041557,0.0106671839857311,-0.0244182505324933,0.0316379632675276,"T1_NumShock"
"T1_Path1stEntr",0.0144359988291159,0.0273284848063045,-0.0479194581443474,-0.0869357263541729,0.0473238374687538,-0.0314638628573743,0.0994065097206282,0.0658021061421835,-0.00318773793824609,-0.201373064899733,-0.0273025519881315,-0.061616753019511,-0.0458025163657159,0.054016605237549,0.0430365729808864,0.109984822192313,0.0415782874899696,-0.0475879478444911,-0.0827174814119269,-0.0126142264917596,0.0666007110236577,0.067257968996514,-0.0543512747075603,0.0209831972630329,-0.0615587178588196,-0.023345473219431,0.0535690638115977,-0.0122318649070785,-0.000498652436946933,-0.0968160495408213,0.0808248683443021,0.0112934934099864,-0.00349400248756015,0.00299813791676773,"T1_Path1stEntr"
