"","rowname","PC1","PC2","PRKCZ","WWC1","PRKCI","PRKCB","NSF","GRIA2","PIN1","FOS","IGF2","CAMK2A","LAMA1","LAMB1","LAMC1","TNC","TNXB","TNR","GABRA1","PTPRS","PNN","EGFR","LIMK1","ROCK2","ALDH1A1","ALDH1L1"
"11","LAMA1",0.199589778258973,0.128609809005767,0.0256338536300271,-0.150614709416088,0.111829248824698,0.631657567720444,0.0183551176087566,-0.139650667444464,0.110441272272653,0.11494146234218,0.446065995706717,0.36933782798356,1,0.217102256432051,0.12092388003662,0.282085298777456,-0.0611081081011089,-0.0772695963044787,-0.0870109275469525,0.0570557600442654,0.0397736460044667,0.356815776406075,-0.0409910984321895,0.2048374424089,0.286724896629507,0.15573530541401
"12","LAMB1",0.444765931666996,-0.56382314292587,-0.420136326711644,-0.0647566586408458,0.372000058585232,-0.00333892227094965,-0.214695980662311,-0.037078801251496,0.320378874230704,0.594966870378357,0.437680419580761,0.180172981838578,0.217102256432051,1,0.130523251069344,0.00986674446542529,0.167707420016817,-0.0764438763985688,0.565880786256186,0.509849485021232,-0.369533092274884,0.35830954952533,-0.111133093413791,0.524018097154346,0.498894277333445,-0.332033490761965
"13","LAMC1",0.307595797393469,-0.213212755131728,0.427529728215861,0.207543334595591,-0.743598273395196,-0.193293877782597,-0.698625717337051,-0.102905201516881,-0.157234621225083,0.0417789266289562,0.230641547318298,0.0625101428332925,0.12092388003662,0.130523251069344,1,0.117127566692909,-0.680635181142087,-0.129845212125573,0.396435059065247,-0.38069601109967,0.632097015943,0.0669513193602238,0.164335278695959,-0.489594175949156,-0.088890403087727,0.759880444905172
"14","LIMK1",-0.327190372574744,0.145761379507357,0.324731008109296,-0.261213734018031,-0.281666860789889,0.0980534773239791,-0.126286179171752,-0.153947718543594,0.579765845603693,-0.285423340093788,-0.0922717302048843,-0.60008540907494,-0.0409910984321895,-0.111133093413791,0.164335278695959,-0.279752665448863,-0.346479399922064,-0.612320912689518,-0.0539094562847099,-0.0541268741331062,0.361045767883042,-0.079363514461921,1,-0.446481172340605,-0.387586958644166,0.421081463450927
"15","NSF",-0.120525178300946,0.321814272995148,-0.403620826753054,0.165750540736814,0.323947482955191,0.288454938114633,1,-0.190583951931207,-0.115267062669465,-0.420450658035046,-0.036867248994143,-0.210883096344455,0.0183551176087566,-0.214695980662311,-0.698625717337051,-0.53862175516392,0.166065046262807,0.190351200054161,-0.513324148359573,-0.21928547531746,-0.599153108324487,-0.396074835667289,-0.126286179171752,0.206136167237536,-0.291792696091738,-0.274887908921196
"16","PIN1",-0.22094695131468,0.0489899387967015,-0.234276222267275,-0.646296831849103,0.104502976854724,0.303067855137297,-0.115267062669465,-0.357924340468573,1,0.190340697244546,0.100076530167358,-0.345162282753933,0.110441272272653,0.320378874230704,-0.157234621225083,-0.0562859846575062,-0.0279610909731287,-0.607801057364416,0.170872165712326,0.259387945513446,-0.00759935718440061,0.393505029242531,0.579765845603693,-0.0264723221122551,0.122375173894867,-0.0969301394362527
"17","PNN",-0.102362555240786,-0.0868437421025223,0.414496755048003,-0.162779907968583,-0.629613007596806,0.0540599773053534,-0.599153108324487,0.0281011973305137,-0.00759935718440061,-0.0742847371299195,0.00376331584769969,0.0233969181508681,0.0397736460044667,-0.369533092274884,0.632097015943,0.48411963775485,-0.481770242512711,-0.12538803519321,0.185461678693095,-0.330726479322002,1,0.275676136569356,0.361045767883042,-0.579270882247941,-0.254920546967302,0.619731357758808
"18","PRKCB",-0.00697449385190162,0.267194529441068,-0.0849837313696816,-0.443443482677799,0.167854978823417,1,0.288454938114633,-0.263311432664728,0.303067855137297,-0.07864736245137,0.469362642690525,0.331492528975387,0.631657567720444,-0.00333892227094965,-0.193293877782597,0.221522560461883,0.106639287575048,0.166806197605301,-0.0369451858284252,-0.0450170422463792,0.0540599773053534,0.489172561256038,0.0980534773239791,0.142147270760246,0.0673981199526241,-0.0115866179091786
"19","PRKCI",0.0603574803014929,-0.159721968878774,-0.403276391642369,-0.224641807050148,1,0.167854978823417,0.323947482955191,0.262283129490238,0.104502976854724,0.418235627687243,0.116037101185624,0.348403215200254,0.111829248824698,0.372000058585232,-0.743598273395196,0.160944274305853,0.888434133214609,0.230750485034074,0.0631342380334042,0.814817110444534,-0.629613007596806,0.213443546009053,-0.281666860789889,0.881998081871178,0.555206466075203,-0.88659769670115
"20","PRKCZ",-0.363987777259242,0.385878495029041,1,0.235785613372655,-0.403276391642369,-0.0849837313696816,-0.403620826753054,0.222878383929936,-0.234276222267275,-0.439587142103121,-0.0652274929721652,0.102768228677298,0.0256338536300271,-0.420136326711644,0.427529728215861,0.126045571050355,-0.200046541838344,-0.0216102505183693,-0.17273766599521,-0.145452245535962,0.414496755048003,-0.210373994534825,0.324731008109296,-0.358727459516245,-0.0906394681479981,0.503494289393133
"21","PTPRS",0.0708373446506575,-0.348894264870523,-0.145452245535962,-0.340290151867787,0.814817110444534,-0.0450170422463792,-0.21928547531746,0.47595038573312,0.259387945513446,0.601049887218925,0.0322373205095347,0.295282645168997,0.0570557600442654,0.509849485021232,-0.38069601109967,0.373427608553463,0.80226019892507,-0.0492448366639001,0.308900982538504,1,-0.330726479322002,0.378670581764819,-0.0541268741331062,0.723030394098787,0.677632292400442,-0.734184217281894
"22","ROCK2",0.272257193682653,-0.328507936380526,-0.358727459516245,-0.0513901730448517,0.881998081871178,0.142147270760246,0.206136167237536,0.183095993468739,-0.0264723221122551,0.543306295088386,0.321420297070154,0.528769635601337,0.2048374424089,0.524018097154346,-0.489594175949156,0.24562154120015,0.777744915331043,0.282977595727826,0.220858720853001,0.723030394098787,-0.579270882247941,0.157337052216333,-0.446481172340605,1,0.705498895926449,-0.758302695342189
"23","TNC",0.0680139489088738,-0.340017410002499,0.126045571050355,-0.235643270405039,0.160944274305853,0.221522560461883,-0.53862175516392,0.354845476678913,-0.0562859846575062,0.460480685135444,0.10734668920993,0.635141581593323,0.282085298777456,0.00986674446542529,0.117127566692909,1,0.325093453876637,0.219074192115645,0.193438537432764,0.373427608553463,0.48411963775485,0.661350498310934,-0.279752665448863,0.24562154120015,0.478813900724087,-0.162403296498196
"24","TNR",0.0569385079811196,-0.0349937824070824,-0.0216102505183693,0.283405044585501,0.230750485034074,0.166806197605301,0.190351200054161,-0.00588916126872428,-0.607801057364416,-0.0311763245221541,0.125257979658687,0.573614070700364,-0.0772695963044787,-0.0764438763985688,-0.129845212125573,0.219074192115645,0.27035943169971,1,0.064459002731729,-0.0492448366639001,-0.12538803519321,0.135061858333801,-0.612320912689518,0.282977595727826,0.0257312348383487,-0.21624220106183
"25","TNXB",0.0321333241092137,-0.148403097449147,-0.200046541838344,-0.237067494742244,0.888434133214609,0.106639287575048,0.166065046262807,0.517131815339286,-0.0279610909731287,0.341331844573495,0.0591456705351695,0.406969007712249,-0.0611081081011089,0.167707420016817,-0.680635181142087,0.325093453876637,1,0.27035943169971,0.0922084178109801,0.80226019892507,-0.481770242512711,0.209048457194877,-0.346479399922064,0.777744915331043,0.52507028265939,-0.893985931312136
"26","WWC1",0.19557368071158,-0.211789375631467,0.235785613372655,1,-0.224641807050148,-0.443443482677799,0.165750540736814,0.0357722581268047,-0.646296831849103,-0.287304643030733,-0.0421818122284259,-0.0238781709702348,-0.150614709416088,-0.0647566586408458,0.207543334595591,-0.235643270405039,-0.237067494742244,0.283405044585501,-0.408792999368196,-0.340290151867787,-0.162779907968583,-0.567117531560361,-0.261213734018031,-0.0513901730448517,-0.220110571073561,0.270715576055492
