"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.HC.ConfT","CA1.HC.ConfY","CA1.HC.StdT","CA1.HC.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.HC.ConfT","CA3.HC.ConfY","CA3.HC.StdT","CA3.HC.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.HC.ConfT","DG.HC.ConfY","DG.HC.StdT","DG.HC.StdY","DG.StdT.StdY"
"93","Acaa1a",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"94","Acaa2",0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"95","Acad11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"96","Acadl",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"97","Acads",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Acan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"99","Acap3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Acbd5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"101","Acd",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Acin1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Ackr1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"104","Ackr3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"105","Aco1",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Acot11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"107","Acot3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"108","Acot5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"109","Acp1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Acp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"111","Acsbg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"112","Acsf3",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"113","Acsl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"114","Acsl3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"115","Acsl6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"116","Acss2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"117","Acta1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Actr1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"119","Actr8",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Acvr2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"121","Acvrl1",0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"122","Acyp2",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Adam10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"124","Adam8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
