"gene","lfc","padj","tissue","comparison"
"Ifnar2",-2.7553818790756,0.0685331030351751,"CA3","home.cage-standard.trained"
"Inpp5d",-3.90551147874138,0.076256039964081,"CA3","home.cage-standard.trained"
"Itgb5",-3.65274622671799,0.0217793275662249,"CA3","home.cage-standard.trained"
"Kcna3",-6.98028612003328,0.0978220928198125,"CA3","home.cage-standard.trained"
"Kcna6",-2.25642140811809,0.000211712600918444,"CA3","home.cage-standard.trained"
"Kcnip2",1.13008548635019,0.0605903078346451,"CA3","home.cage-standard.trained"
"Kcnj10",-2.16440098166075,0.0534869918859163,"CA3","home.cage-standard.trained"
"Kcnq4",-6.1848635019671,0.0761377672889996,"CA3","home.cage-standard.trained"
"Kdr",-6.72971617944865,0.0500227163421948,"CA3","home.cage-standard.trained"
"Khk",-6.20730873144839,0.0967555780878755,"CA3","home.cage-standard.trained"
"Kif5a",-2.35837060542462,0.00859282675572228,"CA3","home.cage-standard.trained"
"Kif5b",-1.26252396118073,0.0187250779859676,"CA3","home.cage-standard.trained"
"Kif5c",-0.931727554673645,0.08313990434342,"CA3","home.cage-standard.trained"
"Klf11",-7.05098839318194,0.0521311224226931,"CA3","home.cage-standard.trained"
"Lamb2",-3.32987394981341,0.0399288898157081,"CA3","home.cage-standard.trained"
"Lamc3",-7.12014076024626,0.023740271003326,"CA3","home.cage-standard.trained"
"Lgi2",-2.38228290649237,0.0680067293059369,"CA3","home.cage-standard.trained"
"Lgi4",-4.18236940961783,0.0487667796841005,"CA3","home.cage-standard.trained"
"Lims2",-5.79676420494048,0.0945340836879738,"CA3","home.cage-standard.trained"
"Lonrf3",-4.23614702729087,0.0967978634011861,"CA3","home.cage-standard.trained"
"Lpcat2",-3.26748385473464,0.0829718058933792,"CA3","home.cage-standard.trained"
"Lsg1",3.21813590580285,0.0777652535869118,"CA3","home.cage-standard.trained"
"Ly6a",-5.81758207740131,0.0898785084721013,"CA3","home.cage-standard.trained"
"Mag",-1.99495095952875,0.0945500949331489,"CA3","home.cage-standard.trained"
"Maob",-3.96074529268981,0.0967188287492122,"CA3","home.cage-standard.trained"
"Map3k10",-1.13405544659834,0.0978220928198125,"CA3","home.cage-standard.trained"
"Metrn",-3.05990586134468,0.0504434872670544,"CA3","home.cage-standard.trained"
"Mfge8",-2.22199420396147,0.0600410981160154,"CA3","home.cage-standard.trained"
"Midn",-1.85675956915859,0.0939210659630454,"CA3","home.cage-standard.trained"
"Mlycd",2.16079982690429,0.0600410981160154,"CA3","home.cage-standard.trained"
"Mmgt2",-6.50167982210302,0.0994665201758561,"CA3","home.cage-standard.trained"
"Mog",-2.98106524591225,0.0543755050866722,"CA3","home.cage-standard.trained"
"Mpeg1",-3.29411359447384,0.0214836684107696,"CA3","home.cage-standard.trained"
"Mpped1",-2.84031653186686,0.08313990434342,"CA3","home.cage-standard.trained"
"Mrpl38",1.90155898094741,0.0727621778656771,"CA3","home.cage-standard.trained"
"Mrps25",1.927526090743,0.0245310555674477,"CA3","home.cage-standard.trained"
"Msi2",-2.08309129715958,0.0424420855052172,"CA3","home.cage-standard.trained"
"Msn",-5.4384295613561,0.0159945638142336,"CA3","home.cage-standard.trained"
"mt-Nd4",-1.49058426546733,0.08313990434342,"CA3","home.cage-standard.trained"
"mt-Nd5",-1.47867756031877,0.0978220928198125,"CA3","home.cage-standard.trained"
"Mtss1",-2.52804413124488,0.0841520468365483,"CA3","home.cage-standard.trained"
"Mtss1l",-1.79470364933493,0.0779970807695825,"CA3","home.cage-standard.trained"
"Nacc2",-2.08185992749647,0.0939210659630454,"CA3","home.cage-standard.trained"
"Nbas",-2.22054847755143,0.0535785722946786,"CA3","home.cage-standard.trained"
"Nde1",-3.7068160976273,0.0731509909101302,"CA3","home.cage-standard.trained"
"Ndrg2",-2.44236359859155,0.0731509909101302,"CA3","home.cage-standard.trained"
"Neurod6",0.956851234364583,0.083946043552196,"CA3","home.cage-standard.trained"
"Nfic",-1.63469734279192,0.0528728079548195,"CA3","home.cage-standard.trained"
"Nfkbia",-3.01124042588561,0.0782098272402292,"CA3","home.cage-standard.trained"
"Nkd1",-4.70361613686781,0.0335928603103724,"CA3","home.cage-standard.trained"
"Nlk",-2.30100889395118,0.0217650032230603,"CA3","home.cage-standard.trained"
"Nmnat1",-5.85409540302917,0.0685331030351751,"CA3","home.cage-standard.trained"
"Notch3",-3.66703101118547,0.0399288898157081,"CA3","home.cage-standard.trained"
"Npy",-4.74531002722712,0.0898785084721013,"CA3","home.cage-standard.trained"
"Nr3c1",-2.41352925964959,0.0841520468365483,"CA3","home.cage-standard.trained"
"Ntrk2",-1.41918979573632,0.0399288898157081,"CA3","home.cage-standard.trained"
"Nwd1",-2.53282239213771,0.0436153050239621,"CA3","home.cage-standard.trained"
"Oaf",-6.56436923576079,0.0436153050239621,"CA3","home.cage-standard.trained"
"Pabpc1",-1.01482626114322,0.0967978634011861,"CA3","home.cage-standard.trained"
"Pacsin3",-5.88590076454676,0.0217793275662249,"CA3","home.cage-standard.trained"
"Paqr8",-1.73113152018338,0.0945340836879738,"CA3","home.cage-standard.trained"
"Pbxip1",-3.11342362431151,0.0399288898157081,"CA3","home.cage-standard.trained"
"Pcbp3",1.53379023151758,0.0500227163421948,"CA3","home.cage-standard.trained"
"Pcdhgb6",-3.9963127297632,0.0500227163421948,"CA3","home.cage-standard.trained"
"Pcna",-2.8996486557214,0.0543755050866722,"CA3","home.cage-standard.trained"
"Pde1c",-6.61115928529357,0.0731509909101302,"CA3","home.cage-standard.trained"
"Pex11a",-4.8799589612663,0.0944371320652105,"CA3","home.cage-standard.trained"
"Pgp",1.53881849413937,0.0829718058933792,"CA3","home.cage-standard.trained"
"Pih1d1",-3.27002327486288,0.0245310555674477,"CA3","home.cage-standard.trained"
"Pik3c2b",-2.4746649431791,0.0528728079548195,"CA3","home.cage-standard.trained"
"Pik3r1",-3.09075015897939,0.0145154607352849,"CA3","home.cage-standard.trained"
"Pitpnc1",-2.60224904129015,0.0691312990285374,"CA3","home.cage-standard.trained"
"Pla2g7",-1.78578220131167,0.0639055959967383,"CA3","home.cage-standard.trained"
"Pld1",-6.80431843526726,0.0600410981160154,"CA3","home.cage-standard.trained"
"Plek",-3.04475087073403,0.0690597755869456,"CA3","home.cage-standard.trained"
"Plekhg1",-3.22918286080607,0.0939210659630454,"CA3","home.cage-standard.trained"
"Plpp1",2.60368706969845,0.0585824649754575,"CA3","home.cage-standard.trained"
"Plpp3",-2.43474130914095,0.0399288898157081,"CA3","home.cage-standard.trained"
"Plpp7",-2.83673361741514,0.0935644905542032,"CA3","home.cage-standard.trained"
"Plxdc2",-4.0631281733713,0.0159945638142336,"CA3","home.cage-standard.trained"
"Pnp",-4.54777106937922,0.08313990434342,"CA3","home.cage-standard.trained"
"Podxl",-3.98366192413636,0.0782098272402292,"CA3","home.cage-standard.trained"
"Pon2",-2.65596440513016,0.0534869918859163,"CA3","home.cage-standard.trained"
"Pou3f4",6.62156339898267,0.0521311224226931,"CA3","home.cage-standard.trained"
"Prelp",-7.78044375766638,0.00909305580050554,"CA3","home.cage-standard.trained"
"Prex1",-3.90442314036291,0.0443102519535652,"CA3","home.cage-standard.trained"
"Prex2",-2.29013347680991,0.0898785084721013,"CA3","home.cage-standard.trained"
"Prps1l3",-5.54405271541724,0.0953046989439175,"CA3","home.cage-standard.trained"
"Prr18",-3.90018887893074,0.00859282675572228,"CA3","home.cage-standard.trained"
"Psd2",-2.43904188749469,0.0896775388587576,"CA3","home.cage-standard.trained"
"Ptn",-2.79467182810793,0.0145154607352849,"CA3","home.cage-standard.trained"
"Ptprb",-2.93289663306877,0.0600410981160154,"CA3","home.cage-standard.trained"
"Qk",-1.93600005476115,0.0671453631996623,"CA3","home.cage-standard.trained"
"Rapgef4",-2.69110384630887,0.00336624019458653,"CA3","home.cage-standard.trained"
"Rbms2",-4.16387445528061,0.0777652535869118,"CA3","home.cage-standard.trained"
"Rbms3",-3.00181739189124,0.0399288898157081,"CA3","home.cage-standard.trained"
"Rell1",-5.80190512308501,0.0759523619187698,"CA3","home.cage-standard.trained"
"Reps1",1.50119958519045,0.0838578248469741,"CA3","home.cage-standard.trained"
"Rgs6",-5.06730066891003,0.0896775388587576,"CA3","home.cage-standard.trained"
"Rgs8",-1.02551733476222,0.0672865696402003,"CA3","home.cage-standard.trained"
"Rhpn2",-4.3860687426191,0.0731509909101302,"CA3","home.cage-standard.trained"
"Rims3",-2.99407376052658,0.0874675964012787,"CA3","home.cage-standard.trained"
"Rin2",-2.72625402536522,0.08313990434342,"CA3","home.cage-standard.trained"
"Rnaseh2c",2.85759393527571,0.0685331030351751,"CA3","home.cage-standard.trained"
"Rpusd4",3.86704459667077,0.0953046989439175,"CA3","home.cage-standard.trained"
"Rxra",-3.04347927424744,0.0945340836879738,"CA3","home.cage-standard.trained"
"Ryr1",3.1707258209032,0.0680067293059369,"CA3","home.cage-standard.trained"
"Scarb2",-1.41669158869448,0.0383133428467145,"CA3","home.cage-standard.trained"
"Scd2",-1.34915382385783,0.0957999672377026,"CA3","home.cage-standard.trained"
"Scg3",-1.54888118434182,0.0731509909101302,"CA3","home.cage-standard.trained"
"Scrg1",-6.13836230623733,0.0217650032230603,"CA3","home.cage-standard.trained"
"Scrt1",-1.40016836907599,0.076256039964081,"CA3","home.cage-standard.trained"
"Sema4c",-5.59194226410722,0.0399288898157081,"CA3","home.cage-standard.trained"
"Serpini1",-1.93978975506883,0.0436153050239621,"CA3","home.cage-standard.trained"
"Sh3bp5",1.36731310600393,0.0650199400674999,"CA3","home.cage-standard.trained"
"Siglech",-4.03054301515403,0.0815420837925647,"CA3","home.cage-standard.trained"
"Slc15a2",-4.323269990344,0.0159945638142336,"CA3","home.cage-standard.trained"
"Slc17a8",-2.79951715705885,0.0685331030351751,"CA3","home.cage-standard.trained"
"Slc1a2",-2.15307627925891,0.0159945638142336,"CA3","home.cage-standard.trained"
"Slc25a15",-6.52860198700888,0.023740271003326,"CA3","home.cage-standard.trained"
"Slc2a6",1.6623308999112,0.0724290638209967,"CA3","home.cage-standard.trained"
"Slc32a1",-2.43007760721437,0.0217793275662249,"CA3","home.cage-standard.trained"
"Slc39a12",-3.03084984771347,0.066950646312417,"CA3","home.cage-standard.trained"
"Slc4a2",-3.43193487188899,0.0159945638142336,"CA3","home.cage-standard.trained"
"Slc52a2",-4.82473454481217,0.0335928603103724,"CA3","home.cage-standard.trained"
"Slc6a1",-1.74821220001724,0.0829718058933792,"CA3","home.cage-standard.trained"
"Slc6a20a",-5.49785480482728,0.0945340836879738,"CA3","home.cage-standard.trained"
"Slc9a2",1.86611808238718,0.00909305580050554,"CA3","home.cage-standard.trained"
"Slco1c1",-2.95602754871037,0.0600410981160154,"CA3","home.cage-standard.trained"
"Slitrk3",1.32839127852926,0.0683695125420732,"CA3","home.cage-standard.trained"
"Slmo1",-1.94247155496321,0.0534869918859163,"CA3","home.cage-standard.trained"
"Smoc1",-4.88800046435359,0.0609509171079999,"CA3","home.cage-standard.trained"
"Sod3",-3.19295756015362,0.0600410981160154,"CA3","home.cage-standard.trained"
"Sp1",-3.20175906764234,0.076256039964081,"CA3","home.cage-standard.trained"
"Sparc",-1.78060279358157,0.0978220928198125,"CA3","home.cage-standard.trained"
"Sparcl1",-1.6725994188821,0.045254844827576,"CA3","home.cage-standard.trained"
"Spata2l",1.66508426711665,0.0528728079548195,"CA3","home.cage-standard.trained"
"Spred1",-1.56183484962155,0.0896775388587576,"CA3","home.cage-standard.trained"
"Srebf1",-2.97328462862746,0.0494657906947897,"CA3","home.cage-standard.trained"
"Srl",-5.93492107703252,0.0534869918859163,"CA3","home.cage-standard.trained"
"Stk32b",-3.73669439595718,0.0945500949331489,"CA3","home.cage-standard.trained"
"Taf10",1.84769162728658,0.0998007212119802,"CA3","home.cage-standard.trained"
"Tbc1d9b",-1.1407902743304,0.0521311224226931,"CA3","home.cage-standard.trained"
"Tgfbr2",-4.38976346443322,0.0978220928198125,"CA3","home.cage-standard.trained"
"Thbs1",-6.9510784958577,0.0898785084721013,"CA3","home.cage-standard.trained"
"Timm8a1",6.10121245111566,0.00909305580050554,"CA3","home.cage-standard.trained"
"Tjp2",-2.88274000935042,0.0680067293059369,"CA3","home.cage-standard.trained"
"Tlr3",-3.86326381396993,0.0725778863247911,"CA3","home.cage-standard.trained"
"Tmem132a",1.14178105089375,0.0978220928198125,"CA3","home.cage-standard.trained"
"Tmem176b",-3.79617048132598,0.0488549844600374,"CA3","home.cage-standard.trained"
"Tmem192",-3.29999335258407,0.0996472974130569,"CA3","home.cage-standard.trained"
"Tmem246",1.14272063175013,0.0915332854812569,"CA3","home.cage-standard.trained"
"Tmem268",-2.86059481867078,0.0600410981160154,"CA3","home.cage-standard.trained"
