tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Fam168a,0.62,9.14e-02,1.04,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Relt,5.05,5.16e-02,1.29,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rnf121,2.29,5.26e-02,1.28,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Xndc1,-1.9,9.25e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Timm10b,-1.7,7.54e-02,1.12,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Mrpl17,3.2,4.31e-02,1.37,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,St5,-2.17,2.57e-02,1.59,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ampd3,3.96,7.00e-02,1.15,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rabep2,-1.83,6.72e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Prrt2,-0.53,6.98e-02,1.16,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ctf2,-2.61,9.00e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bag3,3.96,9.04e-02,1.04,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sec23ip,-0.93,8.81e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fgfr2,3.72,5.77e-02,1.24,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Plekha1,-0.97,4.16e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Sirt3,2.24,3.04e-02,1.52,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Ifitm10,-1.45,2.57e-02,1.59,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Nap1l4,-1.16,2.27e-02,1.64,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Stxbp2,-1.14,9.57e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Timm44,-1.55,4.16e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tmco3,-1.66,8.86e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fbxo25,-1.18,8.67e-02,1.06,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ap3m2,-0.64,7.81e-02,1.11,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Kcnu1,-3.81,4.52e-02,1.34,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fnta,2.01,5.67e-02,1.25,standard.yoked vs. conflict.yoked,conflict.yoked
