Sample Name,Dups,GC,Length,MillionReads,QualityFiltered
147_CA3_4_S77_L003_R1_001,0.85,0.49,146,1.7,Yes
147_CA3_4_S77_L003_R2_001,0.70,0.49,149,1.7,Yes
147_DG_4_S78_L003_R1_001,0.83,0.50,147,1.2,Yes
147_DG_4_S78_L003_R2_001,0.69,0.50,149,1.2,Yes
148A_CA1_3_S79_L003_R1_001,0.64,0.50,148,6.9,Yes
148A_CA1_3_S79_L003_R2_001,0.57,0.50,150,6.9,Yes
148A_CA3_3_S80_L003_R1_001,0.69,0.50,147,3.4,Yes
148A_CA3_3_S80_L003_R2_001,0.57,0.51,150,3.4,Yes
148A_DG_3_S81_L003_R1_001,0.75,0.49,148,6,Yes
148A_DG_3_S81_L003_R2_001,0.62,0.49,150,6,Yes
148B_CA1_4_S82_L003_R1_001,0.82,0.47,145,1.4,Yes
148B_CA1_4_S82_L003_R2_001,0.73,0.47,150,1.4,Yes
148B_CA3_4_S83_L003_R1_001,0.94,0.54,149,35.8,Yes
148B_CA3_4_S83_L003_R2_001,0.86,0.54,150,35.8,Yes
148B_DG_4_S84_L003_R1_001,0.67,0.50,149,2.6,Yes
148B_DG_4_S84_L003_R2_001,0.58,0.50,150,2.6,Yes
148_CA1_2_S85_L003_R1_001,0.82,0.49,148,3.1,Yes
148_CA1_2_S85_L003_R2_001,0.68,0.49,150,3.1,Yes
148_CA3_2_S86_L003_R1_001,0.71,0.50,147,3.2,Yes
148_CA3_2_S86_L003_R2_001,0.58,0.50,150,3.2,Yes
148_DG_2_S87_L003_R1_001,0.83,0.49,148,3.5,Yes
148_DG_2_S87_L003_R2_001,0.70,0.49,150,3.5,Yes
