"gene","logP"
"A830080D01Rik",-0.1
"A930004D18Rik",2.2
"A930009A15Rik",-0.2
"A930011G23Rik",0.7
"A930017K11Rik",0
"A930018M24Rik",-1.2
"A930033H14Rik",0.4
"AA415398",-0.2
"AA792892",0
"AA986860",0.7
"Aaas",-0.6
"Aacs",-0.1
"Aadat",-0.1
"Aaed1",-0.7
"Aagab",0.2
"Aak1",-0.6
"Aamdc",-0.7
"Aamp",0
"Aanat",-0.1
"Aar2",-0.1
"Aard",-0.3
"Aars",0.2
"Aars2",-0.3
"Aarsd1",-1
"Aasdh",-0.1
"Aasdhppt",0.3
"Aass",-0.3
"Aatf",0.1
"Aatk",-0.6
"Abat",0
"Abca1",-0.1
"Abca12",0.2
"Abca17",0.1
"Abca2",0.1
"Abca3",0.3
"Abca4",-0.1
"Abca5",2
"Abca6",0.5
"Abca7",-0.3
"Abca8a",0.2
"Abca8b",0.1
"Abca9",0
"Abcb10",-1.2
"Abcb11",-0.1
"Abcb1a",0
"Abcb1b",-0.2
"Abcb4",0.1
"Abcb6",0
"Abcb7",0.7
"Abcb8",-0.1
"Abcb9",-0.1
"Abcc1",0.1
"Abcc10",-0.2
"Abcc2",1
"Abcc3",0.4
"Abcc4",0.4
"Abcc5",0.1
"Abcc6",-0.2
"Abcc8",0
"Abcc9",0.1
"Abcd1",-0.1
"Abcd2",1.1
"Abcd3",-0.2
"Abcd4",0.2
"Abce1",0.2
"Abcf1",0.1
"Abcf2",0.1
"Abcf3",0.2
"Abcg1",0
"Abcg2",0.3
"Abcg3",0
"Abcg4",-0.6
"Abcg8",-0.1
"Abhd10",-0.2
"Abhd11",0
"Abhd12",-0.1
"Abhd12b",-0.1
"Abhd13",0
"Abhd14a",-0.3
"Abhd14b",-0.3
"Abhd15",0.1
"Abhd16a",0
"Abhd16b",-0.3
"Abhd17a",0.2
"Abhd17b",-0.1
"Abhd17c",-0.8
"Abhd18",-0.3
"Abhd2",2.9
"Abhd3",0.3
"Abhd4",-0.5
"Abhd5",0
"Abhd6",-0.1
"Abhd8",-1.2
"Abi1",-0.1
"Abi2",0
"Abi3",-0.2
"Abi3bp",-0.1
"Abl1",0.1
"Abl2",0
"Ablim1",0.4
"Ablim2",-0.1
"Ablim3",0.8
"Abr",-0.2
"Abra",1.5
"Abracl",-0.5
"Abt1",0.5
"Abtb1",-0.2
"Abtb2",0.2
"AC139131.1",-1.1
"Acaa1a",0
"Acaa1b",-0.2
"Acaa2",0.5
"Acaca",-0.2
"Acacb",-0.1
"Acad10",0
"Acad11",-0.3
"Acad12",0.1
"Acad8",-0.3
"Acad9",0.3
"Acadl",0.5
"Acadm",-0.2
"Acads",-1
"Acadsb",0.2
"Acadvl",0
"Acan",7.6
"Acap2",0.1
"Acap3",0.3
"Acat1",-0.2
"Acat2",-0.1
"Acat3",0
"Acbd3",0.4
"Acbd4",-0.2
"Acbd5",-0.1
"Acbd6",0.4
"Accs",-0.5
"Acd",-0.3
"Ace",0.5
"Ace2",-0.2
"Acer1",0.2
"Acer2",-0.2
"Acer3",-0.2
"Ache",-0.4
"Acin1",0.2
"Ackr1",0
"Ackr2",0
"Ackr3",0.3
"Ackr4",-0.1
"Acly",-0.7
"Acmsd",0.4
"Acnat1",0
"Aco1",-0.1
"Aco2",0.8
"Acot1",0.9
"Acot10",0.1
"Acot11",0.5
"Acot12",0.2
